aa	ɑ ɑ
insure	ɪ n ʃ ʊ ɚ
insurer	ɪ n ʃ ʊ ɹ ɚ
insurrection	ɪ n s ə ɹ ɛ k ʃ ə n
insusurration	ɪ n s u s ə ɹ e ɪ ʃ ə n
intact	ɪ n t æ k t
intaglio	ɪ n t æ l ɪ o ʊ
intake	ɪ n t e ɪ k
intangible	ɪ n t æ n d͡ʒ ə b ə l
integer	ɪ n t ɪ d͡ʒ ə ɹ
integrate	ɪ n t ə ɡ ɹ e ɪ t
integration	ɪ n t ə ɡ ɹ e ɪ ʃ ə n
integument	ɪ n t ɛ ɡ j ʊ m ə n t
intellect	ɪ n t ə l ɛ k t
intellectual	ɪ n t ə l ɛ k t͡ʃ ʊ ə l
intelligence	ɪ n t ɛ l ɪ d͡ʒ ə n s
intemperance	ɪ n t ɛ m p ɛ ɹ ə n s
intend	ɪ n t ɛ n d
intended	ɪ n t ɛ n d ɪ d
intenerate	ɪ n t ɛ n ə ɹ e ɪ t
intenible	ɪ n t ɛ n ə b ə l
intensate	ɪ n t ɛ n s e ɪ t
intense	ɪ n t ɛ n s
intensely	ɪ n t ɛ n s l i
intension	ɪ n t ɛ n ʃ ə n
intensity	ɪ n t ɛ n s ɪ t i
intentions	ɪ n t ɛ n ʃ ə n z
intentive	ɪ n t ɛ n t ɪ v
intently	ɪ n t ɛ n t l i
inter	ɪ n t ɝ
interact	ɪ n t ə ɹ æ k t
interaction	ɪ n t ə ɹ æ k ʃ ə n
interactive	ɪ n t ɚ æ k t ɪ v
interactivity	ɪ n t ə ɹ æ k t ɪ v ɪ t i
interagency	ɪ n t ə ɹ e ɪ d͡ʒ ə n s i
interbedded	ɪ n t ɚ b ɛ d ə d
interbred	ɪ n t ɚ b ɹ ɛ d
interbreed	ɪ n t e ɹ b ɹ i d
intercalate	ɪ n t ɝ k ə l e ɪ t
intercede	ɪ n t ə ɹ s i d
intercept	ɪ n t ɚ s ɛ p t
interception	ɪ n t ɚ s ɛ p ʃ ə n
intercessor	ɪ n t ə ɹ s ɛ s ə ɹ
interchange	ɪ n t ɚ t͡ʃ e ɪ n d͡ʒ
interchangeable	ɪ n t ɚ t͡ʃ e ɪ n d͡ʒ ə b l̩
interchangement	ɪ n t ə t͡ʃ e ɪ n d͡ʒ m ə n t
intercident	ɪ n t ɜ ɹ s ɪ d ə n t
interclude	ɪ n t ə ɹ k l u d
intercontinental	ɪ n t ɚ k ɑ n t ɪ n ɛ n t ə l
intercostal	ɪ n t ɚ k ɔ s t ə l
intercrural	ɪ n t ɚ k ɹ u ɹ ə l
interdepositional	ɪ n t ɚ d ɛ p ə z ɪ ʃ ə n ə l
interdict	ɪ n t ɚ d ɪ k t
interdiscipline	ɪ n t ə ɹ d ɪ s ɪ p l ɪ n
interface	ɪ n t ɚ f e ɪ s
interfaces	ɪ n t ə f e ɪ s
interfere	ɪ n t ɚ f ɪ ɹ
interfered	ɪ n t ɚ f ɪ ɹ d
interim	ɪ n t ə ɹ ɪ m
interjacency	ɪ n t ə ɹ d͡ʒ e ɪ s ə n s i
interject	ɪ n t ɚ d͡ʒ ɛ k t
interlace	i n t ɚ l e ɪ s
interlacustrine	ɪ n t ɚ l æ k ʌ s t ɹ a ɪ n
interlanguage	ɪ n t ɜ ɹ l æ ŋ ɡ w ɪ d͡ʒ
interlingua	ɪ n t ə ɹ l ɪ ŋ ɡ w ə
intermarry	ɪ n t ə ɹ m æ ɹ i
intermediacy	ɪ n t ɚ m i d i ə s i
intermedial	ɪ n t ə ɹ m i d i ə l
intermediates	ɪ n t ɚ m i d i ə t s
intermezzo	ɪ n t ɚ m ɛ t s o ʊ
intermission	ɪ n t ɚ m ɪ ʃ ə n
intermittent	ɪ n t ɚ m ɪ t n̩ t
intermittently	ɪ n t ə m ɪ t ə n t l ɪ
intermured	ɪ n t ə ɹ m j ʊ ə ɹ d
intern	ɪ n t ɝ n
internal	ɪ n t ɝ n ə l
internalize	ɪ n t ɝ n ə l a ɪ z
internally	ɪ n t ɝ n ə l i
international	ɪ n t ɚ n æ ʃ ə n ə l
internationalization	ɪ n t ɚ n æ ʃ ə n ə l ə z e ɪ ʃ ə n
internship	ɪ n t ɝ n ʃ ɪ p
interoceanic	ɪ n t ə ɹ o ʊ ʃ i æ n ɪ k
interocular	ɪ n t ə ɹ ɔ k j ə l ə ɹ
interosseus	ɪ n t ə ɹ ɔ s i ə s
interpoint	ɪ n t ə ɹ p ɔ ɪ n t
interpolate	ɪ n t ɜ ɹ p ə l e ɪ t
interpret	ɪ n t ɝ p ɹ ɪ t
interpretation	ɪ n t ɚ p ɹ ə t e ɪ ʃ ə n
interpreted	ɪ n t ɝ p ɹ ɪ t ɪ d
interpreter	ɪ n t ɝ p ɹ ɪ t ɚ
interpreters	ɪ n t ə p ɹ ɪ t ə s
interracial	ɪ n t ə ɹ e ɪ ʃ ə l
interregna	ɪ n t ə ɹ ɹ ɛ ɡ n ə
interregnums	ɪ n t ə ɹ ɹ ɛ ɡ n ə m z
interrobang	ɪ n t ɛ ɹ ə b æ ŋ
interrupted	ɪ n t ə ɹ ʌ p t ɪ d
interruption	ɪ n t ə ɹ ʌ p ʃ ə n
intersection	ɪ n t ə ɹ s ɛ k ʃ ə n
intersectional	ɪ n t ə ɹ s ɛ k ʃ ə n l̩
intersex	ɪ n t ɚ s ɛ k s
intershell	ɪ n t ɚ ʃ ɛ l
interslavic	ɪ n t ɚ s l ɑ v ɪ k
interspecific	ɪ n t ɚ s p ə s ɪ f ɪ k
intersperse	ɪ n t ə ɹ s p ɜ ɹ s
interstice	ɪ n t ɚ s t ɪ s
interstitial	ɪ n t ə ɹ s t ɪ ʃ ə l
intertex	ɪ n t ə ɹ t ɛ k s
interval	ɪ n t ɚ v ə l
intervallic	ɪ n t ɚ v æ l ɪ k
intervallum	ɪ n t ə ɹ v æ l ə m
intervals	ɪ n t ɚ v ə l z
intervention	ɪ n t ɚ v ɛ n ʃ ə n
interventive	ɪ n t ɚ v ɛ n t ə v
interview	ɪ n t ɚ v j u
interviewee	ɪ n t ɚ v j u i
interviewer	ɪ n t ɚ v j u ɚ
intervocalic	ɪ n t ə ɹ v o ʊ k æ l ɪ k
interweave	ɪ n t ə ɹ w i v
interwove	ɪ n t ə ɹ w o v
interwoven	ɪ n t ə ɹ w o ʊ v ə n
inthronization	i n θ ɹ o ʊ n a ɪ z e ɪ ʃ ə n
intimacy	ɪ n t ɪ m ə s i
intimation	ɪ n t ə m e ɪ ʃ ə n
into	ɪ n t u
intolerable	ɪ n t ɑ l ə ɹ ə b l̩
intolerator	ɪ n t ɔ l ə ɹ ə ɪ t ə ɹ
intone	ɪ n t o ʊ n
intoxicated	ɪ n t ɑ k s ɪ k e ɪ t ɪ d
intracisternal	ɪ n t ɹ ə s ɪ s t ɝ n ə l
intrahepatic	ɪ n t ɹ ə h ə p æ t ɪ k
intraordinary	ɪ n t ɹ ə ɔ ɹ d ɪ n ɛ ɹ i
intraresidue	ɪ n t ɹ ə ɹ ɛ z ɪ d u
intravital	ɪ n t ɹ ə v a ɪ t l
intrepid	ɪ n t ɹ ɛ p ɪ d
intriguing	ɪ n t ɹ i ɡ ɪ ŋ
intro	ɪ n t ɹ o ʊ
introduce	ɪ n t ɹ ə d u s
introduced	ɪ n t ɹ ə d u s t
introducing	ɪ n t ɹ ə d u s ɪ ŋ
introduction	ɪ n t ɹ ə d ʌ k ʃ ə n
introductory	ɪ n t r ə d ʌ k t ə r i
introject	ɪ n t ɹ o ʊ d͡ʒ ɛ k t
intromit	ɪ n t ɹ ə m ɪ t
introspection	ɪ n t ɹ ə s p ɛ k ʃ ə n
intrude	ɪ n t ɹ u d
intrusion	ɪ n t ɹ u ʒ ə n
intrusive	ɪ n t ɹ u s ɪ v
intuit	ɪ n t u ɪ t
intuition	ɪ n t u w ɪ ʃ i n
inukshuk	ɪ n ʊ k ʃ ʊ k
inuktitut	ɪ n ʊ k t ɪ t ʊ t
inunction	ɪ n ʌ ŋ k ʃ ə n
inundate	ɪ n ə n d e ɪ t
inure	ɪ n j ʊ ɹ
inured	ɪ n j ʊ ɹ d
inutile	ɪ n j u t a ɪ l
inutterable	ɪ n ʌ t ə ɹ ə b l̩
invade	ɪ n v e ɪ d
invaded	ɪ n v e ɪ d ɪ d
invader	ɪ n v e ɪ d ə ɹ
invaders	ɪ n v e ɪ d ə ɹ z
invariably	ɪ n v ɛ ɹ i ə b l i
invariance	i n v ɛ ɹ i ə n s
invasion	ɪ n v e ɪ ʒ ə n
invasive	ɪ n v e ɪ s ɪ v
invective	ɪ n v ɛ k t ɪ v
invent	ɪ n v ɛ n t
invented	ɪ n v ɛ n t ɪ d
inventor	ɪ n v ɛ n t ɚ
inverse	ɪ n v ɝ s
inversion	ɪ n v ɝ ʒ ə n
invert	ɪ n v ɝ t
investigation	ɪ n v ɛ s t ə ɡ e ɪ ʃ ə n
investor	ɪ n v ɛ s t ɚ
inviolable	ɪ n v a ɪ ə l ə b l̩
invitement	ɪ n v a ɪ t m ə n t
invoice	ɪ n v ɔ ɪ s
invoiceability	ɪ n v ɔ ɪ s ə b ɪ l ɪ ɾ i
invoke	ɪ n v o ʊ k
involuntarily	ɪ n v ɑ l ə n t ɛ ɹ ɪ l i
involuntary	ɪ n v ɑ l ə n t ɛ ɹ i
involution	ɪ n v ə l u ʃ ə n
involve	ɪ n v ɑ l v
involved	ɪ n v ɑ l v d
involving	ɪ n v ɑ l v ɪ ŋ
inwardly	ɪ n w ɚ d l i
inwards	ɪ n w ɚ d z
inwit	ɪ n w ɪ t
iodide	ɑ ɪ ə d ɑ ɪ d
iodoquinol	a ɪ ə d o ʊ k w ɪ n ɔ l
iohexol	a ɪ o ʊ h ɛ k s ɔ l
iolo	j ɔ l o ʊ
ione	a ɪ o ʊ n
ionic	a ɪ ɔ n ɪ k
iotize	a ɪ ə t a ɪ z
ipecac	ɪ p ɪ k æ k
iphigenia	ɪ f ɪ d͡ʒ ɪ n a ɪ ə
iphone	a ɪ f o ʊ̯ n
ipratropium	ɪ p ɹ ə t ɹ o ʊ p i ə m
ipsative	ɪ p s ə t ɪ v
ipsedixitism	ɪ p s i d ɪ k s ɪ t ɪ z ə m
ipswich	ɪ p s w ɪ t͡ʃ
ipu	i p u
iqalungmiut	ɪ k a l ʊ ŋ m i ʊ t
ira	a ɪ ɹ ə
iraan	a ɪ ɹ ə ʔ æ n
irate	a ɪ ɹ e ɪ t
ire	a ɪ ɹ
irene	a ɪ ɹ i n
iri	a ɪ ɑ ɹ a ɪ
iris	a ɪ ɹ ɪ s
irk	ɝ k
irksome	ɚ k s ə m
irkutsk	ɪ ɹ k ʊ t s k
iron	a ɪ ɚ n
ironmonger	a ɪ ə ɹ n m ʌ ŋ ɡ ə ɹ
irp	ɜ ɹ p
irrational	ɪ ɹ æ ʃ ə n ə l
irrawaddy	ɪ ɹ ə w ɑ d i
irredeemable	ɪ ɹ ə d i m ə b ə l
irregular	ɪ ɹ ɛ ɡ j ə l ɚ
irregularity	ɪ r ɛ ɡ j ə l æ r ə t i
irrelative	ɪ ɹ ɛ l ə t ɪ v
irremeable	ɪ ɹ ɛ m i ə b ə l
irreparable	ɪ ɹ ɛ p ə ɹ ə b ə l
irresistible	ɪ ɹ ɪ z ɪ s t ə b l̩
irrespirable	ɪ ɹ ɪ s p a ɪ ɹ ə b ə l
irresponsible	ɪ r ə s p ɑ n s ɪ b ə l
irresponsibly	ɪ ɹ ɪ s p ɑ n s ə b l i
irrigate	ɪ ɹ ə ɡ e ɪ t
irrigation	ɪ ɹ ə ɡ e ɪ ʃ ə n
irrision	ɪ ɹ ɪ ʒ ə n
irritability	ɪ ɹ ɪ t ə b ɪ l ɪ t i
irritable	ɪ ɹ ɪ t ə b l
irritant	ɪ ɹ ɪ t ə n t
irritate	ɪ ɹ ɪ t e ɪ t
irritated	ɪ ɹ ɪ t e ɪ t ɪ d
irruent	ɪ ɹ ɪ ʊ ə n t
irrumation	ɪ ɹ ʊ m e i ʃ ə n
irv	ɝ v
irvin	ɝ v ɪ n
irving	ɜ ɹ v ɪ ŋ
isaac	a ɪ z ə k
isabel	ɪ z ə b ɛ l
isabella	ɪ z ə b ɛ l ə
isadore	ɪ z ə d ɔ ɹ
isaiah	a ɪ z e ɪ ə
isangoma	i s æ ŋ ɡ o ʊ m ə
isanti	a ɪ s æ n t i
isatuximab	a ɪ s ə t ʌ k s ɪ m æ b
isauria	a ɪ s ɔ ɹ i ə
ischemia	ɪ s k i m i ə
ischemic	ɪ s k i m ɪ k
ischium	ɪ s k i ə m
iscsi	a ɪ s k ʌ z i
isd	a ɪ ɛ s d i
isethionate	a ɪ s ɪ θ a ɪ ə n e ɪ t
ish	ɪ ʃ
ishkabibble	ɪ ʃ k ə b ɪ b ə l
isil	a ɪ s ə l
isinglass	a ɪ z ɪ ŋ ɡ l æ s
isla	a ɪ l ə
island	a ɪ̯ l ə n d
islander	a ɪ l ə n d ɚ
isle	a ɪ̯ l
islet	a ɪ l ə t
ism	ɪ z ə m
iso	a ɪ s o ʊ
isocarboxazid	a ɪ s o ʊ k ɑ ɹ b ɑ k s ə z ɪ d
isoflurane	a ɪ s ə f l ʊ ɹ e ɪ n
isogenous	a ɪ s ɑ d͡ʒ ə n ə s
isogloss	a ɪ s ə ɡ l ɑ s
isohexane	a ɪ s o ʊ h ɛ k s e ɪ n
isohyet	a ɪ s o ʊ h a ɪ ɪ t
isolated	a ɪ s ə l e ɪ t ɪ d
isolationism	a ɪ s ə l e ɪ ʃ ə n ɪ z ə m
isoleucyl	a ɪ s ə l u s ɪ l
isomer	a ɪ s ə m ɚ
isomerase	a ɪ s ɑ m ə ɹ e ɪ s
isomerize	a ɪ s ɑ m ə ɹ a ɪ z
isoniazid	a ɪ s ə n a ɪ ə z ɪ d
isoprenaline	a ɪ s ə p ɹ ɛ n ə l ɪ n
isoproterenol	a ɪ s ə p ɹ o ʊ t ɛ ɹ ə n ɔ l
isopsephy	a ɪ s ə s ɛ f i
isosceles	a ɪ s ɔ s ə l i z
isot	i s o ʊ t
isotonic	ɑ ɪ s ə t ɑ n ɪ k
isotope	a ɪ s ə t o ʊ p
isotretinoin	a ɪ s o ʊ t ɹ ɛ t ɪ n o ʊ ɪ n
isotropy	a ɪ s ɔ t ɹ ə p i
israeli	ɪ z ɹ e ɪ l i
isthmus	ɪ s m ə s
italianization	ɪ t æ l j ə n ə z e ɪ ʃ ə n
italicise	ɪ t æ l ɪ s a ɪ z
italicization	ɪ t æ l ɪ s a ɪ z e ɪ ʃ ə n
italy	ɪ t ə l i
itanic	a ɪ t æ n ɪ k
itch	ɪ t͡ʃ
itched	ɪ t͡ʃ t
itches	ɪ t͡ʃ ɪ z
itching	ɪ t͡ʃ ɪ ŋ
itchings	ɪ t͡ʃ ɪ ŋ z
itchy	ɪ t͡ʃ i
ite	a ɪ t i i
item	a ɪ t ə m
iteration	ɪ t ə ɹ e ɪ ʃ ə n
iteroparous	ɪ t ə r o ʊ p æ r ə s
ithaca	ɪ θ ə k ə
ithe	a ɪ ð
ithyphallic	ɪ θ ɪ f æ l ɪ k
itinerant	a ɪ t ɪ n ɚ ə n t
itinerary	a ɪ t ɪ n ə ɹ ɛ ɹ i
itis	a ɪ t i s
itraconazole	ɪ t ɹ ə k ɑ n ə z o ʊ l
itself	ɪ t s ɛ l f
iuka	a ɪ j u k ə
iuliyanov	j u l i ɑ n ɔ v
ivabradine	a ɪ v æ b ɹ ə d i n
ivied	a ɪ v i d
ivorian	a ɪ v ɔ ɹ i ə n
ivories	a ɪ v ə ɹ i z
ivy	a ɪ v i
ivybridge	a ɪ v i b ɹ ɪ d͡ʒ
iwan	i w ɑ n
iwar	a ɪ w ɔ ɹ
iwis	ɪ w ɪ s
ixazomib	i k s æ z o ʊ m ɪ b
ixion	ɪ k s a ɪ ə n
ixnay	ɪ k s n e ɪ
iyokan	i j o ʊ k ɑ n
izba	ɪ z b ɑ
izzard	ɪ z ə ɹ d
izzy	ɪ z i
jab	d͡ʒ æ b
jabbed	d͡ʒ æ b d
jabbing	d͡ʒ æ b ɪ ŋ
jabbings	d͡ʒ æ b ɪ ŋ z
jabiru	d͡ʒ æ b ɪ ɹ u
jaboticaba	d͡ʒ æ b ɔ t ɪ k ɑ b ə
jabroni	d͡ʒ ə b ɹ o ʊ n i
jabs	d͡ʒ æ b z
jacal	h ə k ɑ l
jace	d͡ʒ e ɪ s
jack	d͡ʒ æ k
jackal	d͡ʒ æ k ə l
jackboot	d͡ʒ æ k b u t
jackbooted	d͡ʒ æ k b u t ɪ d
jacked	d͡ʒ æ k t
jacker	d͡ʒ æ k ə ɹ
jackers	d͡ʒ æ k ə ɹ z
jackie	d͡ʒ æ k i
jacking	d͡ʒ æ k ɪ ŋ
jackings	d͡ʒ æ k ɪ ŋ z
jackpudding	d͡ʒ æ k p ʊ d ɪ ŋ
jacks	d͡ʒ æ k s
jacky	d͡ʒ æ k i
jacob	d͡ʒ e ɪ k ə b
jacobite	d͡ʒ æ k ə b a ɪ t
jacobs	d͡ʒ e ɪ k ə b z
jaconet	d͡ʒ æ k ə n ɪ t
jadeite	d͡ʒ e ɪ d a ɪ t
jadoo	d͡ʒ ɑ d u
jaffa	d͡ʒ ɑ f ə
jag	d͡ʒ æ ɡ
jager	j e ɪ ɡ ɚ
jagerbomb	j e ɪ ɡ ɚ b ɑ m
jagger	d͡ʒ æ ɡ ə ɹ
jaggery	d͡ʒ æ ɡ ə ɹ i
jagirdar	d͡ʒ æ ɡ ɝ d ɑ ɹ
jail	d͡ʒ e ɪ l
jailed	d͡ʒ e ɪ l d
jailer	d͡ʒ e ɪ l ə ɹ
jailing	d͡ʒ e ɪ l ɪ ŋ
jailings	d͡ʒ e ɪ l ɪ ŋ z
jails	d͡ʒ e ɪ l z
jainism	d͡ʒ e ɪ n ɪ z m̩
jakarta	d͡ʒ ə k ɑ ɹ t ə
jake	d͡ʒ e ɪ k
jakie	d͡ʒ e ɪ k i
jakobsonian	j ɑ k ə b s o ʊ n i ə n
jakun	d͡ʒ ʌ k u n
jaleo	h ɑ l e ɪ o ʊ
jalopy	d͡ʒ ə l ɔ p i
jalouse	d͡ʒ ə l u z
jam	d͡ʒ æ m
jamaica	d͡ʒ ə m e ɪ k ə
jamaican	d͡ʒ ə m e ɪ k ə n
jamb	d͡ʒ æ m
james	d͡ʒ e ɪ m z
jameson	d͡ʒ e ɪ m ə s ə n
jamie	d͡ʒ e ɪ m i
jammer	d͡ʒ æ m ɚ
jamming	d͡ʒ æ m ɪ ŋ
jammy	d͡ʒ æ m i
jams	d͡ʒ æ m z
jandal	d͡ʒ æ n d ə l
janet	d͡ʒ æ n ɪ t
janine	d͡ʒ ə n i n
janissary	d͡ʒ æ n ə z e ɹ i
janitor	d͡ʒ æ n ɪ t ɚ
janjina	j ɑ n j ɪ n ə
janken	d͡ʒ ɑ ŋ k ɛ n
janky	d͡ʒ æ ŋ k i
januaries	d͡ʒ æ n j u ɛ ɹ i z
januarys	d͡ʒ æ n j u ɛ ɹ i z
janus	d͡ʒ e ɪ n ə s
jap	d͡ʒ æ p
japanese	d͡ʒ æ p ə n i z
japanophilia	d͡ʒ ə p æ n ə f ɪ l i ə
jape	d͡ʒ e ɪ p
japonic	d͡ʒ ə p ɔ n ɪ k
japonica	d͡ʒ ə p ɑ n ɪ k ə
jared	d͡ʒ æ ɹ ə d
jargle	d͡ʒ ɑ ɹ ɡ ə l
jargon	d͡ʒ ɑ ɹ ɡ ə n
jargoon	d͡ʒ ɑ ɹ ɡ u n
jarrah	d͡ʒ æ ɹ ə
jasmine	d͡ʒ æ z m ɪ n
jasper	d͡ʒ æ s p ɚ
jaunce	d͡ʒ ɔ n s
jaunt	d͡ʒ ɔ n t
jaunty	d͡ʒ ɔ n t i
javan	d͡ʒ ɑ v ə n
javans	d͡ʒ ɑ v ə n z
javascript	d͡ʒ ɑ v ə s k ɹ ɪ p t
javertian	ʒ ə v ɛ ɹ ʃ ə n
jawan	d͡ʒ ə w ɑ n
jawn	d͡ʒ ɔ n
jaws	d͡ʒ ɔ z
jayla	d͡ʒ e ɪ l ə
jays	d͡ʒ e ɪ z
jaysus	d͡ʒ e ɪ z ə s
jazz	d͡ʒ æ z
jazzed	d͡ʒ æ z d
jazzes	d͡ʒ æ z ɪ z
jazzing	d͡ʒ æ z ɪ ŋ
jazzy	d͡ʒ æ z i
jbiebs	d͡ʒ e ɪ b i b s
jealous	d͡ʒ ɛ l ə s
jealousy	d͡ʒ ɛ l ə s i
jean	d͡ʒ i n
jeannette	d͡ʒ ə n ɛ t
jeans	d͡ʒ i n z
jeb	d͡ʒ ɛ b
jebel	d͡ʒ ɛ b ə l
jedi	d͡ʒ ɛ d a ɪ
jedicide	d͡ʒ ɛ d ɪ s a ɪ d
jedidiah	d͡ʒ ɛ d ɪ d a ɪ ə
jeep	d͡ʒ i p
jeepney	d͡ʒ i p n i
jeeps	d͡ʒ i p s
jeer	d͡ʒ ɪ ɹ
jeera	d͡ʒ ɪ ɹ ə
jeeves	d͡ʒ i v z
jeff	d͡ʒ ɛ f
jeffrey	d͡ʒ ɛ f ɹ i
jegging	d͡ʒ ɛ ɡ ɪ ŋ
jehovah	d͡ʒ ə h o ʊ v ə
jehovist	d͡ʒ ə h o ʊ v i s t
jekkie	d͡ʒ ɛ k i
jel	d͡ʒ ɛ l
jell	d͡ʒ ɛ l
jello	d͡ʒ ɛ l o ʊ
jelly	d͡ʒ ɛ l i
jellyfish	d͡ʒ ɛ l i f ɪ ʃ
jelq	d͡ʒ ɛ l k
jenglish	d͡ʒ ɪ ŋ ɡ l ɪ ʃ
jenkin	d͡ʒ ɛ ŋ k ɪ n
jennifer	d͡ʒ ɛ n ɪ f ɚ
jennings	d͡ʒ ɛ n ɪ ŋ z
jenny	d͡ʒ ɛ n i
jensen	d͡ʒ ɛ n s ə n
jentacular	d͡ʒ ɛ n t æ k j ə l ə ɹ
jeofail	d͡ʒ ɛ f e ɪ l
jeopard	d͡ʒ ɛ p ə ɹ d
jeopardy	d͡ʒ ɛ p ɚ d i
jeremiad	d͡ʒ ɛ ɹ ə m a ɪ ə d
jerkin	d͡ʒ ɜ ɹ k ɪ n
jerkwater	d͡ʒ ɚ k w ɔ t ɚ
jerky	d͡ʒ ɝ k i
jeroboam	d͡ʒ ɛ ɹ ə b o ʊ ə m
jerome	d͡ʒ ə ɹ o ʊ m
jerry	d͡ʒ ɛ ɹ i
jerrycan	d͡ʒ ɛ ɹ i k æ n
jess	d͡ʒ ɛ s
jesse	d͡ʒ ɛ s i
jessica	d͡ʒ ɛ s ɪ k ə
jessup	d͡ʒ ɛ s ə p
jester	d͡ʒ ɛ s t ɚ
jestings	d͡ʒ ɛ s t ɪ ŋ z
jesuitic	d͡ʒ ɛ z j u ɪ t ɪ k
jet	d͡ʒ ɛ t
jethro	d͡ʒ ɛ θ ɹ o ʊ
jets	d͡ʒ ɛ t s
jetsam	d͡ʒ ɛ t s ə m
jetted	d͡ʒ ɛ t ɪ d
jetting	d͡ʒ ɛ t ɪ ŋ
jettison	d͡ʒ ɛ ɾ ɪ s n̩
jewbush	d͡ʒ u b ʊ ʃ
jeweler	d͡ʒ u ə l ɚ
jewish	d͡ʒ u ɪ ʃ
jewry	d͡ʒ u ɹ i
jewy	d͡ʒ u i
jez	d͡ʒ ɛ z
jezebel	d͡ʒ ɛ z ə b ɛ l
jharkhand	d͡ʒ ɑ ɹ k ə n d
jheel	d͡ʒ i l
jib	d͡ʒ ɪ b
jibe	d͡ʒ a ɪ b
jiffy	d͡ʒ ɪ f i
jig	d͡ʒ ɪ ɡ
jiggambob	d͡ʒ ɪ ɡ ə m b ɔ b
jigged	d͡ʒ ɪ ɡ d
jigger	d͡ʒ ɪ ɡ ɚ
jiggered	d͡ʒ ɪ ɡ ɚ d
jigging	d͡ʒ ɪ ɡ ɪ ŋ
jiggings	d͡ʒ ɪ ɡ ɪ ŋ z
jiggish	d͡ʒ ɪ ɡ ɪ ʃ
jiggle	d͡ʒ ɪ ɡ ə l
jiggy	d͡ʒ ɪ ɡ i
jigs	d͡ʒ ɪ ɡ z
jildi	d͡ʒ ɪ l d i
jildy	d͡ʒ ɪ l d i
jilin	d͡ʒ i l ɪ n
jill	d͡ʒ ɪ l
jillion	j ɪ l j ə n
jilt	d͡ʒ ɪ l t
jilted	d͡ʒ ɪ l t ɪ d
jilting	d͡ʒ ɪ l t ɪ ŋ
jiltings	d͡ʒ ɪ l t ɪ ŋ z
jilts	d͡ʒ ɪ l t s
jim	d͡ʒ ɪ m
jimbo	d͡ʒ ɪ m b o ʊ
jimmer	d͡ʒ ɪ m ə ɹ
jimps	d͡ʒ ɪ m p s
jinan	d͡ʒ i n ɑ n
jingly	d͡ʒ ɪ ŋ ɡ l i
jingo	d͡ʒ ɪ ŋ ɡ o ʊ
jingoism	d͡ʒ ɪ ŋ ɡ o ʊ ɪ z ə m
jingoistic	d͡ʒ ɪ ŋ ɡ o ʊ ɪ s t ɪ k
jingpo	d͡ʒ ɪ ŋ p o ʊ
jinkies	d͡ʒ ɪ ŋ k i z
jinn	d͡ʒ ɪ n
jinricksha	d͡ʒ ɪ n ɹ ɪ k ʃ ə
jinrickshaw	d͡ʒ ɪ n ɹ ɪ k ʃ ɔ
jinriksha	d͡ʒ ɪ n ɹ ɪ k ʃ ə
jint	d͡ʒ a ɪ n t
jinx	d͡ʒ ɪ ŋ k s
jism	d͡ʒ ɪ z ə m
jitterbug	d͡ʒ ɪ t ə ɹ b ʌ ɡ
jo	d͡ʒ o ʊ
joab	d͡ʒ o ʊ æ b
joachim	d͡ʒ o ʊ ə k ɪ m
joan	d͡ʒ o ʊ n
jobe	d͡ʒ o ʊ b
jobsworth	d͡ʒ ɑ b z w ɚ θ
jochebed	j ɔ k ɪ b ɛ d
jocular	d͡ʒ ɑ k j ə l ɚ
jocularity	d͡ʒ ɑ k j ə l ɛ ɹ ɪ t i
jodhpurs	d͡ʒ ɑ d p ɚ z
jody	d͡ʒ o ʊ d i
joe	d͡ʒ o ʊ
jog	d͡ʒ ɑ ɡ
jogger	d͡ʒ ɑ ɡ ɚ
jogging	d͡ʒ ɑ ɡ ɪ ŋ
joggle	d͡ʒ ɔ ɡ ə l
joh	d͡ʒ o ʊ
johannine	d͡ʒ o ʊ h æ n a ɪ n
john	d͡ʒ ɑ n
johnny	d͡ʒ ɑ n i
johnnycake	d͡ʒ ɑ n i k e ɪ k
johnson	d͡ʒ ɑ n s ə n
join	d͡ʒ ɔ ɪ n
joined	d͡ʒ ɔ ɪ n d
joiner	d͡ʒ ɔ ɪ n ɚ
joining	d͡ʒ ɔ ɪ n ɪ ŋ
joinings	d͡ʒ ɔ ɪ n ɪ ŋ z
joins	d͡ʒ ɔ ɪ n z
joint	d͡ʒ ɔ ɪ n t
jointed	d͡ʒ ɔ ɪ n t ɪ d
jointing	d͡ʒ ɔ ɪ n t ɪ ŋ
jointings	d͡ʒ ɔ ɪ n t ɪ ŋ z
jointress	d͡ʒ ɔ ɪ n t ɹ ɪ s
joints	d͡ʒ ɔ ɪ n t s
joist	d͡ʒ ɔ ɪ s t
joke	d͡ʒ o ʊ k
joker	d͡ʒ o ʊ k ɚ
jokes	d͡ʒ o ʊ k s
jokester	d͡ʒ o ʊ k s t ɚ
joking	d͡ʒ o w k ɪ ŋ
jokul	j o ʊ k ə l
jollier	d͡ʒ ɑ l i ɚ
jolliest	d͡ʒ ɑ l i ɪ s t
jollop	d͡ʒ ɔ l ə p
jolly	d͡ʒ ɑ l i
jolt	d͡ʒ o ʊ l t
jolting	d͡ʒ o ʊ l t ɪ ŋ
joly	d͡ʒ ɑ l i
jonah	d͡ʒ o ʊ n ə
jonathan	d͡ʒ ɑ n ə θ ə n
