ააგო	ɑ ɑ ɡ ɔ
ნიშნავს	n i ʃ n ɑ v s
ნიჩაბი	n i t͡ʃ ɑ b i
ნიჩბოსანი	n i t͡ʃ b ɔ s ɑ n i
ნიჭი	n i t͡ʃʼ i
ნიჭიერი	n i t͡ʃʼ i ɛ r i
ნიჰილიზმი	n i h i l i z m i
ნიჰილისტური	n i h i l i s tʼ u r i
ნობელი	n ɔ b ɛ l i
ნოე	n ɔ ɛ
ნოემბერი	n ɔ ɛ m b ɛ r i
ნომერი	n ɔ m ɛ r i
ნომინალური	n ɔ m i n ɑ l u r i
ნომინაცია	n ɔ m i n ɑ t͡s i ɑ
ნორა	n ɔ r ɑ
ნორვეგია	n ɔ r v ɛ ɡ i ɑ
ნორმალიზაცია	n ɔ r m ɑ l i z ɑ t͡s i ɑ
ნორმალურად	n ɔ r m ɑ l u r ɑ d
ნორმატიული	n ɔ r m ɑ tʼ i u l i
ნოსტალგია	n ɔ s tʼ ɑ l ɡ i ɑ
ნოსტალგიურად	n ɔ s tʼ ɑ l ɡ i u r ɑ d
ნოსტალგიური	n ɔ s tʼ ɑ l ɡ i u r i
ნოტარიუსი	n ɔ tʼ ɑ r i u s i
ნოტიო	n ɔ tʼ i ɔ
ნოხი	n ɔ x i
ნუთუ	n u tʰ u
ნუკრი	n u kʼ r i
ნული	n u l i
ნულოვანი	n u l ɔ v ɑ n i
ნუსხა	n u s x ɑ
ნუში	n u ʃ i
ობელისკი	ɔ b ɛ l i s kʼ i
ობი	ɔ b i
ობიექტი	ɔ b i ɛ kʰ tʼ i
ობიექტურად	ɔ b i ɛ kʰ tʼ u r ɑ d
ობიექტური	ɔ b i ɛ kʰ tʼ u r i
ობიექტურობა	ɔ b i ɛ kʰ tʼ u r ɔ b ɑ
ობობა	ɔ b ɔ b ɑ
ობოლი	ɔ b ɔ l i
ობსერვატორია	ɔ b s ɛ r v ɑ tʼ ɔ r i ɑ
ობსტრუქცია	ɔ b s tʼ r u kʰ t͡s i ɑ
ოდა	ɔ d ɑ
ოდიოზურად	ɔ d i ɔ z u r ɑ d
ოდიოზური	ɔ d i ɔ z u r i
ოდნავ	ɔ d n ɑ v
ოვალური	ɔ v ɑ l u r i
ოვაცია	ɔ v ɑ t͡s i ɑ
ოთახი	ɔ tʰ ɑ x i
ოთხი	ɔ tʰ x i
ოთხკუთხედი	ɔ tʰ x kʼ u tʰ x ɛ d i
ოთხმაგი	ɔ tʰ x m ɑ ɡ i
ოთხმოცდაათი	ɔ tʰ x m ɔ t͡s d ɑ ɑ tʰ i
ოთხმოცდათექვსმეტი	ɔ tʰ x m ɔ t͡s d ɑ tʰ ɛ kʰ v s m ɛ tʼ i
ოთხმოცდათორმეტი	ɔ tʰ x m ɔ t͡s d ɑ tʰ ɔ r m ɛ tʼ i
ოთხმოცდაორი	ɔ tʰ x m ɔ t͡s d ɑ ɔ r i
ოთხმოცდახუთი	ɔ tʰ x m ɔ t͡s d ɑ x u tʰ i
ოთხმოცი	ɔ tʰ x m ɔ t͡s i
ოთხშაბათი	ɔ tʰ x ʃ ɑ b ɑ tʰ i
ოკლაჰომა	ɔ kʼ l ɑ h ɔ m ɑ
ოკუპაცია	ɔ kʼ u pʼ ɑ t͡s i ɑ
ოლი	ɔ l i
ოლიგარქი	ɔ l i ɡ ɑ r kʰ i
ოლივერი	ɔ l i v ɛ r i
ოლიმპიადა	ɔ l i m pʼ i ɑ d ɑ
ოლქი	ɔ l kʰ i
ომად	ɔ m ɑ d
ომანი	ɔ m ɑ n i
ომბუდსმენი	ɔ m b u d s m ɛ n i
ომეგა	ɔ m ɛ ɡ ɑ
ომი	ɔ m i
ომის	ɔ m i s
ომმა	ɔ m m ɑ
ომნიბუსი	ɔ m n i b u s i
ომს	ɔ m s
ონკანი	ɔ n kʼ ɑ n i
ოპერატიული	ɔ pʼ ɛ r ɑ tʼ i u l i
ოპერატორი	ɔ pʼ ɛ r ɑ tʼ ɔ r i
ოპერაციული	ɔ pʼ ɛ r ɑ t͡s i u l i
ოპერეტა	ɔ pʼ ɛ r ɛ tʼ ɑ
ოპიუმი	ɔ pʼ i u m i
ოპოზიცია	ɔ pʼ ɔ z i t͡s i ɑ
ოპონენტი	ɔ pʼ ɔ n ɛ n tʼ i
ოპტიკა	ɔ pʼ tʼ i kʼ ɑ
ოპტიკური	ɔ pʼ tʼ i kʼ u r i
ოპტიმალურად	ɔ pʼ tʼ i m ɑ l u r ɑ d
ოპტიმალური	ɔ pʼ tʼ i m ɑ l u r i
ოპტიმიზმი	ɔ pʼ tʼ i m i z m i
ოპტიმისტი	ɔ pʼ tʼ i m i s tʼ i
ოპტიმისტურად	ɔ pʼ tʼ i m i s tʼ u r ɑ d
ოპტიმისტური	ɔ pʼ tʼ i m i s tʼ u r i
ოპუსი	ɔ pʼ u s i
ორაგული	ɔ r ɑ ɡ u l i
ორაზროვანი	ɔ r ɑ z r ɔ v ɑ n i
ორაზროვნად	ɔ r ɑ z r ɔ v n ɑ d
ორაკული	ɔ r ɑ kʼ u l i
ორასწლოვანი	ɔ r ɑ s t͡sʼ l ɔ v ɑ n i
ორატორი	ɔ r ɑ tʼ ɔ r i
ორატორმა	ɔ r ɑ tʼ ɔ r m ɑ
ორბიტა	ɔ r b i tʼ ɑ
ორბორტიანი	ɔ r b ɔ r tʼ i ɑ n i
ორგანიზატორი	ɔ r ɡ ɑ n i z ɑ tʼ ɔ r i
ორგანიზაცია	ɔ r ɡ ɑ n i z ɑ t͡s i ɑ
ორგანისტი	ɔ r ɡ ɑ n i s tʼ i
ორგანულად	ɔ r ɡ ɑ n u l ɑ d
ორეული	ɔ r ɛ u l i
ორთქლი	ɔ r tʰ kʰ l i
ორი	ɔ r i
ორიანი	ɔ r i ɑ n i
ორიგინალი	ɔ r i ɡ i n ɑ l i
ორიგინალურად	ɔ r i ɡ i n ɑ l u r ɑ d
ორიენტაცია	ɔ r i ɛ n tʼ ɑ t͡s i ɑ
ორივე	ɔ r i v ɛ
ორკარედი	ɔ r kʼ ɑ r ɛ d i
ორკესტრანტი	ɔ r kʼ ɛ s tʼ r ɑ n tʼ i
ორკესტრი	ɔ r kʼ ɛ s tʼ r i
ორკვირიანი	ɔ r kʼ v i r i ɑ n i
ორლეანი	ɔ r l ɛ ɑ n i
ორლულიანი	ɔ r l u l i ɑ n i
ორმაგად	ɔ r m ɑ ɡ ɑ d
ორმაგი	ɔ r m ɑ ɡ i
ორმო	ɔ r m ɔ
ორმოცდაათი	ɔ r m ɔ t͡s d ɑ ɑ tʰ i
ორმოცდათოთხმეტი	ɔ r m ɔ t͡s d ɑ tʰ ɔ tʰ x m ɛ tʼ i
ორმოცდაოთხი	ɔ r m ɔ t͡s d ɑ ɔ tʰ x i
ორმოცი	ɔ r m ɔ t͡s i
ორმხრივი	ɔ r m x r i v i
ორნამენტი	ɔ r n ɑ m ɛ n tʼ i
ორპარტიული	ɔ r pʼ ɑ r tʼ i u l i
ორპირობა	ɔ r pʼ i r ɔ b ɑ
ორსული	ɔ r s u l i
ორსულობა	ɔ r s u l ɔ b ɑ
ორშაბათი	ɔ r ʃ ɑ b ɑ tʰ i
ორცხობილა	ɔ r t͡s x ɔ b i l ɑ
ორჯერ	ɔ r d͡ʒ ɛ r
ოსვალდი	ɔ s v ɑ l d i
ოსი	ɔ s i
ოსკარი	ɔ s kʼ ɑ r i
ოსლო	ɔ s l ɔ
ოსპი	ɔ s pʼ i
ოსტატი	ɔ s tʼ ɑ tʼ i
ოსტატობა	ɔ s tʼ ɑ tʼ ɔ b ɑ
ოსტატურად	ɔ s tʼ ɑ tʼ u r ɑ d
ოსტატური	ɔ s tʼ ɑ tʼ u r i
ოსური	ɔ s u r i
ოფი	ɔ pʰ i
ოფიციალურად	ɔ pʰ i t͡s i ɑ l u r ɑ d
ოფიციალური	ɔ pʰ i t͡s i ɑ l u r i
ოფლი	ɔ pʰ l i
ოქრო	ɔ kʰ r ɔ
ოქროდ	ɔ kʰ r ɔ d
ოქროთი	ɔ kʰ r ɔ tʰ i
ოქრომ	ɔ kʰ r ɔ m
ოქროპირიძე	ɔ kʰ r ɔ pʼ i r i d͡z ɛ
ოქროს	ɔ kʰ r ɔ s
ოქტომბერი	ɔ kʰ tʼ ɔ m b ɛ r i
ოღონდ	ɔ ɣ ɔ n d
ოყნა	ɔ qʼ n ɑ
ოჩამჩირე	ɔ t͡ʃ ɑ m t͡ʃ i r ɛ
ოცდაათი	ɔ t͡s d ɑ ɑ tʰ i
ოცდაექვსი	ɔ t͡s d ɑ ɛ kʰ v s i
ოცდათექვსმეტი	ɔ t͡s d ɑ tʰ ɛ kʰ v s m ɛ tʼ i
ოცდათოთხმეტი	ɔ t͡s d ɑ tʰ ɔ tʰ x m ɛ tʼ i
ოცდაოთხი	ɔ t͡s d ɑ ɔ tʰ x i
ოცდასამი	ɔ t͡s d ɑ s ɑ m i
ოცდაშვიდი	ɔ t͡s d ɑ ʃ v i d i
ოცი	ɔ t͡s i
ოციოდე	ɔ t͡s i ɔ d ɛ
ოცნება	ɔ t͡s n ɛ b ɑ
ოხრახუში	ɔ x r ɑ x u ʃ i
ოჯახი	ɔ d͡ʒ ɑ x i
ოჯახიშვილი	ɔ d͡ʒ ɑ x i ʃ v i l i
ოჯახში	ɔ d͡ʒ ɑ x ʃ i
პაატა	pʼ ɑ ɑ tʼ ɑ
პაგოდა	pʼ ɑ ɡ ɔ d ɑ
პაემანი	pʼ ɑ ɛ m ɑ n i
პაემანს	pʼ ɑ ɛ m ɑ n s
პავლე	pʼ ɑ v l ɛ
პათოლოგია	pʼ ɑ tʰ ɔ l ɔ ɡ i ɑ
პათოლოგიური	pʼ ɑ tʰ ɔ l ɔ ɡ i u r i
პათოსი	pʼ ɑ tʰ ɔ s i
პაკეტი	pʼ ɑ kʼ ɛ tʼ i
პალატა	pʼ ɑ l ɑ tʼ ɑ
პალესტინა	pʼ ɑ l ɛ s tʼ i n ɑ
პალესტინელი	pʼ ɑ l ɛ s tʼ i n ɛ l i
პალესტინური	pʼ ɑ l ɛ s tʼ i n u r i
პალიტრა	pʼ ɑ l i tʼ r ɑ
პალტო	pʼ ɑ l tʼ ɔ
პამელა	pʼ ɑ m ɛ l ɑ
პამიდორი	pʼ ɑ m i d ɔ r i
პამფლეტი	pʼ ɑ m pʰ l ɛ tʼ i
პანაშვიდი	pʼ ɑ n ɑ ʃ v i d i
პანდა	pʼ ɑ n d ɑ
პანდემია	pʼ ɑ n d ɛ m i ɑ
პანელი	pʼ ɑ n ɛ l i
პანთეონი	pʼ ɑ n tʰ ɛ ɔ n i
პანიკა	pʼ ɑ n i kʼ ɑ
პანიკური	pʼ ɑ n i kʼ u r i
პანორამა	pʼ ɑ n ɔ r ɑ m ɑ
პანორამული	pʼ ɑ n ɔ r ɑ m u l i
პანსიონი	pʼ ɑ n s i ɔ n i
პანტა	pʼ ɑ n tʼ ɑ
პანტერა	pʼ ɑ n tʼ ɛ r ɑ
პანტომიმა	pʼ ɑ n tʼ ɔ m i m ɑ
პანღური	pʼ ɑ n ɣ u r i
პაპა	pʼ ɑ pʼ ɑ
პაპანაქება	pʼ ɑ pʼ ɑ n ɑ kʰ ɛ b ɑ
პაპი	pʼ ɑ pʼ i
პაპიზმი	pʼ ɑ pʼ i z m i
პაპიროსი	pʼ ɑ pʼ i r ɔ s i
პაპუნაშვილი	pʼ ɑ pʼ u n ɑ ʃ v i l i
პაჟი	pʼ ɑ ʒ i
პარაგვაი	pʼ ɑ r ɑ ɡ v ɑ i
პარადოქსული	pʼ ɑ r ɑ d ɔ kʰ s u l i
პარაზიტი	pʼ ɑ r ɑ z i tʼ i
პარალელური	pʼ ɑ r ɑ l ɛ l u r i
პარამეტრი	pʼ ɑ r ɑ m ɛ tʼ r i
პარანოია	pʼ ɑ r ɑ n ɔ i ɑ
პარაშუტი	pʼ ɑ r ɑ ʃ u tʼ i
პარი	pʼ ɑ r i
პარიზი	pʼ ɑ r i z i
პარიზული	pʼ ɑ r i z u l i
პარიკი	pʼ ɑ r i kʼ i
პარლამენტარი	pʼ ɑ r l ɑ m ɛ n tʼ ɑ r i
პარლამენტი	pʼ ɑ r l ɑ m ɛ n tʼ i
პარმეზანი	pʼ ɑ r m ɛ z ɑ n i
პაროდია	pʼ ɑ r ɔ d i ɑ
პაროლი	pʼ ɑ r ɔ l i
პარტია	pʼ ɑ r tʼ i ɑ
პარტიად	pʼ ɑ r tʼ i ɑ d
პარტიამ	pʼ ɑ r tʼ i ɑ m
პარტიას	pʼ ɑ r tʼ i ɑ s
პარტიზანი	pʼ ɑ r tʼ i z ɑ n i
პარტიზანული	pʼ ɑ r tʼ i z ɑ n u l i
პარტიით	pʼ ɑ r tʼ i i tʰ
პარტიის	pʼ ɑ r tʼ i i s
პარტნიორი	pʼ ɑ r tʼ n i ɔ r i
პარტნიორობა	pʼ ɑ r tʼ n i ɔ r ɔ b ɑ
პარფიუმერი	pʼ ɑ r pʰ i u m ɛ r i
პასაჟი	pʼ ɑ s ɑ ʒ i
პასიურად	pʼ ɑ s i u r ɑ d
პასიური	pʼ ɑ s i u r i
პასიურობა	pʼ ɑ s i u r ɔ b ɑ
პასკა	pʼ ɑ s kʼ ɑ
პასკვილი	pʼ ɑ s kʼ v i l i
პასპორტი	pʼ ɑ s pʼ ɔ r tʼ i
პასტა	pʼ ɑ s tʼ ɑ
პასუხი	pʼ ɑ s u x i
პასუხის	pʼ ɑ s u x i s
პასუხისმგებლობა	pʼ ɑ s u x i s m ɡ ɛ b l ɔ b ɑ
პასუხისმგებლობით	pʼ ɑ s u x i s m ɡ ɛ b l ɔ b i tʰ
პასუხობს	pʼ ɑ s u x ɔ b s
პატარძალი	pʼ ɑ tʼ ɑ r d͡z ɑ l i
პატივი	pʼ ɑ tʼ i v i
პატივისცემა	pʼ ɑ tʼ i v i s t͡s ɛ m ɑ
პატივისცემით	pʼ ɑ tʼ i v i s t͡s ɛ m i tʰ
პატივსაცემად	pʼ ɑ tʼ i v s ɑ t͡s ɛ m ɑ d
პატივსაცემი	pʼ ɑ tʼ i v s ɑ t͡s ɛ m i
პატივცემული	pʼ ɑ tʼ i v t͡s ɛ m u l i
პატიმრობა	pʼ ɑ tʼ i m r ɔ b ɑ
პატიოსანი	pʼ ɑ tʼ i ɔ s ɑ n i
პატიოსნად	pʼ ɑ tʼ i ɔ s n ɑ d
პატიოსნება	pʼ ɑ tʼ i ɔ s n ɛ b ɑ
პატრიარქი	pʼ ɑ tʼ r i ɑ r kʰ i
პატრიოტი	pʼ ɑ tʼ r i ɔ tʼ i
პატრიოტიზმი	pʼ ɑ tʼ r i ɔ tʼ i z m i
პატრიოტული	pʼ ɑ tʼ r i ɔ tʼ u l i
პატრიცია	pʼ ɑ tʼ r i t͡s i ɑ
პატრონი	pʼ ɑ tʼ r ɔ n i
პატრული	pʼ ɑ tʼ r u l i
პაული	pʼ ɑ u l i
პაქტი	pʼ ɑ kʰ tʼ i
პაჩული	pʼ ɑ t͡ʃ u l i
პაციენტი	pʼ ɑ t͡s i ɛ n tʼ i
პაციფისტი	pʼ ɑ t͡s i pʰ i s tʼ i
პაწაწინა	pʼ ɑ t͡sʼ ɑ t͡sʼ i n ɑ
პაწია	pʼ ɑ t͡sʼ i ɑ
პედაგოგი	pʼ ɛ d ɑ ɡ ɔ ɡ i
პედაგოგიური	pʼ ɛ d ɑ ɡ ɔ ɡ i u r i
პედანტიზმი	pʼ ɛ d ɑ n tʼ i z m i
პედერასტი	pʼ ɛ d ɛ r ɑ s tʼ i
პედიატრი	pʼ ɛ d i ɑ tʼ r i
პეიზაჟი	pʼ ɛ i z ɑ ʒ i
პეკინი	pʼ ɛ kʼ i n i
პენელოპე	pʼ ɛ n ɛ l ɔ pʼ ɛ
პენიცილინი	pʼ ɛ n i t͡s i l i n i
პენსი	pʼ ɛ n s i
პენსია	pʼ ɛ n s i ɑ
პენსილვანია	pʼ ɛ n s i l v ɑ n i ɑ
პენსიონერი	pʼ ɛ n s i ɔ n ɛ r i
პეპელა	pʼ ɛ pʼ ɛ l ɑ
პერანგი	pʼ ɛ r ɑ n ɡ i
პერანგის	pʼ ɛ r ɑ n ɡ i s
პერიმეტრი	pʼ ɛ r i m ɛ tʼ r i
პერიოდად	pʼ ɛ r i ɔ d ɑ d
პერიოდი	pʼ ɛ r i ɔ d i
პერიოდით	pʼ ɛ r i ɔ d i tʰ
პერიოდის	pʼ ɛ r i ɔ d i s
პერიოდმა	pʼ ɛ r i ɔ d m ɑ
პერიოდს	pʼ ɛ r i ɔ d s
პერიოდულად	pʼ ɛ r i ɔ d u l ɑ d
პერიოდული	pʼ ɛ r i ɔ d u l i
პერიფერიული	pʼ ɛ r i pʰ ɛ r i u l i
პერპენდიკულარულად	pʼ ɛ r pʼ ɛ n d i kʼ u l ɑ r u l ɑ d
პერსონალი	pʼ ɛ r s ɔ n ɑ l i
პერსპექტივა	pʼ ɛ r s pʼ ɛ kʰ tʼ i v ɑ
პესიმიზმი	pʼ ɛ s i m i z m i
პესიმისტური	pʼ ɛ s i m i s tʼ u r i
პესო	pʼ ɛ s ɔ
პესტიციდი	pʼ ɛ s tʼ i t͡s i d i
პეტერბურგი	pʼ ɛ tʼ ɛ r b u r ɡ i
პეტიცია	pʼ ɛ tʼ i t͡s i ɑ
პეტრიაშვილი	pʼ ɛ tʼ r i ɑ ʃ v i l i
პეწი	pʼ ɛ t͡sʼ i
პიანისტი	pʼ i ɑ n i s tʼ i
პიარი	pʼ i ɑ r i
პიდარასტი	pʼ i d ɑ r ɑ s tʼ i
პიერო	pʼ i ɛ r ɔ
პიესა	pʼ i ɛ s ɑ
პითონი	pʼ i tʰ ɔ n i
პიკანტური	pʼ i kʼ ɑ n tʼ u r i
პიკეტი	pʼ i kʼ ɛ tʼ i
პიკი	pʼ i kʼ i
პიკოლო	pʼ i kʼ ɔ l ɔ
პილონი	pʼ i l ɔ n i
პილოტური	pʼ i l ɔ tʼ u r i
პილპილი	pʼ i l pʼ i l i
პინგვინი	pʼ i n ɡ v i n i
პიონერი	pʼ i ɔ n ɛ r i
პიჟონი	pʼ i ʒ ɔ n i
პირად	pʼ i r ɑ d
პირადად	pʼ i r ɑ d ɑ d
პირადი	pʼ i r ɑ d i
პირამიდა	pʼ i r ɑ m i d ɑ
პირბადე	pʼ i r b ɑ d ɛ
პირგასამტეხლო	pʼ i r ɡ ɑ s ɑ m tʼ ɛ x l ɔ
პირდაპირ	pʼ i r d ɑ pʼ i r
პირდაპირი	pʼ i r d ɑ pʼ i r i
პირდაღებული	pʼ i r d ɑ ɣ ɛ b u l i
პირველი	pʼ i r v ɛ l i
პირველმოწამე	pʼ i r v ɛ l m ɔ t͡sʼ ɑ m ɛ
პირველობა	pʼ i r v ɛ l ɔ b ɑ
პირველშობილი	pʼ i r v ɛ l ʃ ɔ b i l i
პირი	pʼ i r i
პირით	pʼ i r i tʰ
პირის	pʼ i r i s
პირმა	pʼ i r m ɑ
პირმშო	pʼ i r m ʃ ɔ
პირობითი	pʼ i r ɔ b i tʰ i
პიროვნება	pʼ i r ɔ v n ɛ b ɑ
პიროვნებად	pʼ i r ɔ v n ɛ b ɑ d
პიროვნებამ	pʼ i r ɔ v n ɛ b ɑ m
პიროვნებას	pʼ i r ɔ v n ɛ b ɑ s
პიროვნებით	pʼ i r ɔ v n ɛ b i tʰ
პიროვნების	pʼ i r ɔ v n ɛ b i s
პიროტექნიკა	pʼ i r ɔ tʼ ɛ kʰ n i kʼ ɑ
პირს	pʼ i r s
პირსაბანი	pʼ i r s ɑ b ɑ n i
პირუტყვი	pʼ i r u tʼ qʼ v i
პირქუშად	pʼ i r kʰ u ʃ ɑ d
პირქუში	pʼ i r kʰ u ʃ i
პირშუშხა	pʼ i r ʃ u ʃ x ɑ
პიტალო	pʼ i tʼ ɑ l ɔ
პიტერი	pʼ i tʼ ɛ r i
პიტი	pʼ i tʼ i
პიურე	pʼ i u r ɛ
პიცა	pʼ i t͡s ɑ
პიჯაკი	pʼ i d͡ʒ ɑ kʼ i
პლაზმა	pʼ l ɑ z m ɑ
პლაკატი	pʼ l ɑ kʼ ɑ tʼ i
პლანეტა	pʼ l ɑ n ɛ tʼ ɑ
პლანეტარიუმი	pʼ l ɑ n ɛ tʼ ɑ r i u m i
პლანტაცია	pʼ l ɑ n tʼ ɑ t͡s i ɑ
პლანშეტი	pʼ l ɑ n ʃ ɛ tʼ i
პლასტიკური	pʼ l ɑ s tʼ i kʼ u r i
პლასტიკურობა	pʼ l ɑ s tʼ i kʼ u r ɔ b ɑ
პლატო	pʼ l ɑ tʼ ɔ
პლატონური	pʼ l ɑ tʼ ɔ n u r i
პლატფორმა	pʼ l ɑ tʼ pʰ ɔ r m ɑ
პლაცდარმი	pʼ l ɑ t͡s d ɑ r m i
პლაცენტა	pʼ l ɑ t͡s ɛ n tʼ ɑ
პლებეური	pʼ l ɛ b ɛ u r i
პლებისციტი	pʼ l ɛ b i s t͡s i tʼ i
პლენარული	pʼ l ɛ n ɑ r u l i
პლურალიზმი	pʼ l u r ɑ l i z m i
პლუტონი	pʼ l u tʼ ɔ n i
პნევმატურად	pʼ n ɛ v m ɑ tʼ u r ɑ d
პნევმატური	pʼ n ɛ v m ɑ tʼ u r i
პნევმონია	pʼ n ɛ v m ɔ n i ɑ
პოდიუმი	pʼ ɔ d i u m i
პოეზია	pʼ ɔ ɛ z i ɑ
პოეტი	pʼ ɔ ɛ tʼ i
პოეტურად	pʼ ɔ ɛ tʼ u r ɑ d
პოეტური	pʼ ɔ ɛ tʼ u r i
პოვნა	pʼ ɔ v n ɑ
პოზა	pʼ ɔ z ɑ
პოზიტივი	pʼ ɔ z i tʼ i v i
პოზიტიური	pʼ ɔ z i tʼ i u r i
პოზიცია	pʼ ɔ z i t͡s i ɑ
პოკერი	pʼ ɔ kʼ ɛ r i
პოლარული	pʼ ɔ l ɑ r u l i
პოლემიკა	pʼ ɔ l ɛ m i kʼ ɑ
პოლემისტი	pʼ ɔ l ɛ m i s tʼ i
პოლიგამია	pʼ ɔ l i ɡ ɑ m i ɑ
პოლიგლოტი	pʼ ɔ l i ɡ l ɔ tʼ i
პოლიგონი	pʼ ɔ l i ɡ ɔ n i
პოლიპი	pʼ ɔ l i pʼ i
პოლიტიკოსი	pʼ ɔ l i tʼ i kʼ ɔ s i
პოლიტიკურად	pʼ ɔ l i tʼ i kʼ u r ɑ d
პოლიტიკური	pʼ ɔ l i tʼ i kʼ u r i
პოლიტკორექტულობა	pʼ ɔ l i tʼ kʼ ɔ r ɛ kʰ tʼ u l ɔ b ɑ
პოლიფონია	pʼ ɔ l i pʰ ɔ n i ɑ
პოლიფონიური	pʼ ɔ l i pʰ ɔ n i u r i
პოლიციელი	pʼ ɔ l i t͡s i ɛ l i
პოლკოვნიკი	pʼ ɔ l kʼ ɔ v n i kʼ i
პოლო	pʼ ɔ l ɔ
პოლონეთი	pʼ ɔ l ɔ n ɛ tʰ i
პოლონეთმა	pʼ ɔ l ɔ n ɛ tʰ m ɑ
პოლონიუმი	pʼ ɔ l ɔ n i u m i
პოლონური	pʼ ɔ l ɔ n u r i
პოლუსი	pʼ ɔ l u s i
პომიდორი	pʼ ɔ m i d ɔ r i
პომპეზურად	pʼ ɔ m pʼ ɛ z u r ɑ d
პომპეზური	pʼ ɔ m pʼ ɛ z u r i
პონი	pʼ ɔ n i
პონტი	pʼ ɔ n tʼ i
პოპულარობა	pʼ ɔ pʼ u l ɑ r ɔ b ɑ
პოპულარული	pʼ ɔ pʼ u l ɑ r u l i
პოპულისტი	pʼ ɔ pʼ u l i s tʼ i
პოპური	pʼ ɔ pʼ u r i
პორნოგრაფია	pʼ ɔ r n ɔ ɡ r ɑ pʰ i ɑ
პორტალი	pʼ ɔ r tʼ ɑ l i
პორტატული	pʼ ɔ r tʼ ɑ tʼ u l i
პორტი	pʼ ɔ r tʼ i
პორტუგალია	pʼ ɔ r tʼ u ɡ ɑ l i ɑ
პორტუგალიამ	pʼ ɔ r tʼ u ɡ ɑ l i ɑ m
პორტუგალიას	pʼ ɔ r tʼ u ɡ ɑ l i ɑ s
პორტუგალიის	pʼ ɔ r tʼ u ɡ ɑ l i i s
პორტფელი	pʼ ɔ r tʼ pʰ ɛ l i
პოსტი	pʼ ɔ s tʼ i
პოტენცია	pʼ ɔ tʼ ɛ n t͡s i ɑ
პოტენციურად	pʼ ɔ tʼ ɛ n t͡s i u r ɑ d
პოტენციური	pʼ ɔ tʼ ɛ n t͡s i u r i
პრაგმატიზმი	pʼ r ɑ ɡ m ɑ tʼ i z m i
პრაგმატულად	pʼ r ɑ ɡ m ɑ tʼ u l ɑ d
პრასი	pʼ r ɑ s i
პრაქტიკა	pʼ r ɑ kʰ tʼ i kʼ ɑ
პრაქტიკოსი	pʼ r ɑ kʰ tʼ i kʼ ɔ s i
პრაქტიკულად	pʼ r ɑ kʰ tʼ i kʼ u l ɑ d
პრაქტიკული	pʼ r ɑ kʰ tʼ i kʼ u l i
პრაღა	pʼ r ɑ ɣ ɑ
პრეზიდენტი	pʼ r ɛ z i d ɛ n tʼ i
პრეზიდიუმი	pʼ r ɛ z i d i u m i
პრელატი	pʼ r ɛ l ɑ tʼ i
პრელუდია	pʼ r ɛ l u d i ɑ
პრემიერა	pʼ r ɛ m i ɛ r ɑ
პრეროგატივა	pʼ r ɛ r ɔ ɡ ɑ tʼ i v ɑ
პრესტიჟი	pʼ r ɛ s tʼ i ʒ i
პრესტიჟული	pʼ r ɛ s tʼ i ʒ u l i
პრეტენდენტი	pʼ r ɛ tʼ ɛ n d ɛ n tʼ i
პრეტენზია	pʼ r ɛ tʼ ɛ n z i ɑ
