abba	ɒ bː ɒ
mezőn	m ɛ z øː n
mezőny	m ɛ z øː ɲ
mi	m i
mibe	m i b ɛ
miből	m i b øː l
micsoda	m i t͡ʃ o d ɒ
mieink	m i j ɛ j i ŋ k
mielőbbi	m i j ɛ l øː bː i
mielőtt	m i j ɛ l øː tː
mihez	m i ɦ ɛ z
mihály	m i ɦ aː j
mik	m i k
mikor	m i k o r
mikorra	m i k o rː ɒ
mikszáth	m i k s aː t
mikulás	m i k u l aː ʃ
miként	m i k eː n t
millenniumi	m i lː ɛ nː i j u m i
milliomos	m i l i j o m o ʃ
milliárd	m i lː i j aː r d
milliárdos	m i l i j aː r d o ʃ
milliárdosok	m i lː i j aː r d o ʃ o k
milyen	m i j ɛ n
milyennek	m i j ɛ nː ɛ k
minap	m i n ɒ p
mind	m i n d
mindaddig	m i n d ɒ dː i ɡ
mindannyian	m i n d ɒ ɲː i j ɒ n
mindazok	m i n d ɒ z o k
mindeddig	m i n d ɛ dː i ɡ
mindegy	m i n d ɛ ɟː
mindegyik	m i n d ɛ ɟː i k
mindegyikük	m i n d ɛ ɟː i k y k
mindenben	m i n d ɛ m b ɛ n
mindenek	m i n d ɛ n ɛ k
mindenfelé	m i n d ɛ ɱ f ɛ l eː
mindenféle	m i n d ɛ ɱ f eː l ɛ
mindenható	m i n d ɛ n ɦ ɒ t oː
mindenhol	m i n d ɛ n ɦ o l
mindenki	m i n d ɛ ŋ k i
mindenkinek	m i n d ɛ ŋ k i n ɛ k
mindenkire	m i n d ɛ ŋ k i r ɛ
mindenkit	m i n d ɛ ŋ k i t
mindenkivel	m i n d ɛ ŋ k i v ɛ l
mindenkor	m i n d ɛ ŋ k o r
mindenkori	m i n d ɛ ŋ k o r i
mindenképpen	m i n d ɛ ŋ k eː pː ɛ n
mindennap	m i n d ɛ nː ɒ p
mindennapi	m i n d ɛ nː ɒ p i
mindennek	m i n d ɛ nː ɛ k
mindennel	m i n d ɛ nː ɛ l
mindenütt	m i n d ɛ n y tː
mindez	m i n d ɛ z
mindezek	m i n d ɛ z ɛ k
mindezt	m i n d ɛ s t
mindhárom	m i n t h aː r o m
mindjárt	m i ɲ ɟ aː r t
mindkettő	m i n t k ɛ tː øː
mindkét	m i n t k eː t
mindmáig	m i n d m aː j i ɡ
mindössze	m i n d ø sː ɛ
minek	m i n ɛ k
miniatűr	m i n i j ɒ t yː r
minimális	m i n i m aː l i ʃ
minimálisan	m i n i m aː l i ʃ ɒ n
miniszter	m i n i s t ɛ r
miniszterek	m i n i s t ɛ r ɛ k
miniszterelnök	m i n i s t ɛ r ɛ l n ø k
miniszteri	m i n i s t ɛ r i
minisztérium	m i n i s t eː r i j u m
minisztériumi	m i n i s t eː r i j u m i
mint	m i n t
mintegy	m i n t ɛ ɟː
minőség	m i n øː ʃ eː ɡ
minőségben	m i n øː ʃ eː ɡ b ɛ n
minősége	m i n øː ʃ eː ɡ ɛ
minőségileg	m i n øː ʃ eː ɡ i l ɛ ɡ
minőségű	m i n øː ʃ eː ɡ yː
minősítés	m i n øː ʃ iː t eː ʃ
minősül	m i n øː ʃ y l
miskolc	m i ʃ k o l t͡s
miskolci	m i ʃ k o l t͡s i
miskolcon	m i ʃ k o l t͡s o n
misszió	m i sː i j oː
mit	m i t
mivel	m i v ɛ l
miénk	m i j eː ŋ k
miért	m i j eː r t
mióta	m i j oː t ɒ
mobil	m o b i l
mobiltelefon	m o b i l t ɛ l ɛ f o n
mocsarat	m o t͡ʃ ɒ r ɒ t
mocskos	m o t͡ʃ k o ʃ
modell	m o d ɛ lː
modellek	m o d ɛ lː ɛ k
modelleket	m o d ɛ lː ɛ k ɛ t
modellje	m o d ɛ jː ɛ
modellt	m o d ɛ l t
modul	m o d u l
mohar	m o ɦ ɒ r
molnár	m o l n aː r
mond	m o n d
mondanak	m o n d ɒ n ɒ k
mondaná	m o n d ɒ n aː
mondat	m o n d ɒ t
mondata	m o n d ɒ t ɒ
mondj	m o ɲ ɟ
mondja	m o ɲ ɟ ɒ
mondjak	m o ɲ ɟ ɒ k
mondjam	m o ɲ ɟ ɒ m
mondjuk	m o ɲ ɟ u k
mondják	m o ɲ ɟ aː k
mondom	m o n d o m
mondott	m o n d o tː
mondta	m o n t ɒ
mondták	m o n t aː k
mondás	m o n d aː ʃ
mondó	m o n d oː
monetáris	m o n ɛ t aː r i ʃ
monitor	m o n i t o r
monitorok	m o n i t o r o k
monostor	m o n o ʃ t o r
moratórium	m o r ɒ t oː r i j u m
morális	m o r aː l i ʃ
mosdóállvány	m o ʒ d oː aː l v aː ɲ
most	m o ʃ t
mostani	m o ʃ t ɒ n i
mostanra	m o ʃ t ɒ n r ɒ
mostanában	m o ʃ t ɒ n aː b ɒ n
moszkva	m o s k v ɒ
mosópor	m o ʃ oː p o r
mosószer	m o ʃ oː s ɛ r
motor	m o t o r
motorcsónak	m o t o r t͡ʃ oː n ɒ k
motorháztető	m o t o r ɦ aː s t ɛ t øː
motorja	m o t o r j ɒ
motorkerékpárok	m o t o r k ɛ r eː k p aː r o k
motorokon	m o t o r o k o n
motorral	m o t o rː ɒ l
mozaik	m o z ɒ j i k
mozart	m oː t͡s aː r t
mozdulatlanul	m o z d u l ɒ t l ɒ n u l
mozgalmas	m o z ɡ ɒ l m ɒ ʃ
mozgalom	m o z ɡ ɒ l o m
mozgás	m o z ɡ aː ʃ
mozgása	m o z ɡ aː ʃ ɒ
mozgásban	m o z ɡ aː ʒ b ɒ n
mozgássérült	m o z ɡ aː ʃː eː r y l t
mozgó	m o z ɡ oː
mozi	m o z i
mozira	m o z i r ɒ
mozog	m o z o ɡ
mp	m aː ʃ o t p ɛ r t͡s
mszp	ɛ m ɛ s p eː
mti	ɛ m t eː j i
mulat	m u l ɒ t
multi	m u l t i
munkaadó	m u ŋ k ɒ ɒ d oː
munkaadók	m u ŋ k ɒ ɒ d oː k
munkabérek	m u ŋ k ɒ b eː r ɛ k
munkacsoport	m u ŋ k ɒ t͡ʃ o p o r t
munkacsoportok	m u ŋ k ɒ t͡ʃ o p o r t o k
munkahely	m u ŋ k ɒ ɦ ɛ j
munkahelyen	m u ŋ k ɒ ɦ ɛ j ɛ n
munkaidő	m u ŋ k ɒ j i d øː
munkanélküli	m u ŋ k ɒ n eː l k y l i
munkanélküliek	m u ŋ k ɒ n eː l k y l i j ɛ k
munkaszüneti	m u ŋ k ɒ s y n ɛ t i
munkatárs	m u ŋ k ɒ t aː r ʃ
munkatársa	m u ŋ k ɒ t aː r ʃ ɒ
munkatársai	m u ŋ k ɒ t aː r ʃ ɒ j i
munkáik	m u ŋ k aː j i k
munkáim	m u ŋ k aː j i m
munkájuk	m u ŋ k aː j u k
munkálat	m u ŋ k aː l ɒ t
munkáltató	m u ŋ k aː l t ɒ t oː
munkám	m u ŋ k aː m
munkás	m u ŋ k aː ʃ
munkások	m u ŋ k aː ʃ o k
munkásokat	m u ŋ k aː ʃ o k ɒ t
munkássága	m u ŋ k aː ʃː aː ɡ ɒ
musical	m j u z i k ɛ l
must	m u ʃ t
muszlim	m u s l i m
mutatjuk	m u t ɒ cː u k
mutatják	m u t ɒ cː aː k
mutatkozik	m u t ɒ t k o z i k
mutatni	m u t ɒ t n i
muzsikál	m u ʒ i k aː l
máig	m aː j i ɡ
május	m aː j u ʃ
májusban	m aː j u ʒ b ɒ n
májusi	m aː j u ʃ i
májusában	m aː j u ʃ aː b ɒ n
mák	m aː k
mámor	m aː m o r
már	m aː r
mára	m aː r ɒ
március	m aː r t͡s i j u ʃ
márciusban	m aː r t͡s i j u ʒ b ɒ n
márciusi	m aː r t͡s i j u ʃ i
márciusában	m aː r t͡s i j u ʃ aː b ɒ n
máris	m aː r i ʃ
márka	m aː r k ɒ
márkák	m aː r k aː k
márpedig	m aː r p ɛ d i ɡ
mártás	m aː r t aː ʃ
márvány	m aː r v aː ɲ
más	m aː ʃ
másban	m aː ʒ b ɒ n
másfelől	m aː ʃ f ɛ l øː l
másfél	m aː ʃ f eː l
máshogy	m aː ʃ h o ɟ
máshol	m aː ʃ h o l
máshonnan	m aː ʃ h o nː ɒ n
másik	m aː ʃ i k
másikat	m aː ʃ i k ɒ t
másiknak	m aː ʃ i k n ɒ k
másikról	m aː ʃ i k r oː l
másiktól	m aː ʃ i k t oː l
másként	m aː ʃ k eː n t
másképp	m aː ʃ k eː pː
másképpen	m aː ʃ k eː pː ɛ n
másnak	m aː ʃ n ɒ k
másnap	m aː ʃ n ɒ p
másodfokú	m aː ʃ o t f o k uː
második	m aː ʃ o d i k
másodpercig	m aː ʃ o t p ɛ r t͡s i ɡ
másodszor	m aː ʃ o t͡sː o r
mások	m aː ʃ o k
másokat	m aː ʃ o k ɒ t
másokhoz	m aː ʃ o k h o z
másokkal	m aː ʃ o kː ɒ l
másokra	m aː ʃ o k r ɒ
másoké	m aː ʃ o k eː
másolata	m aː ʃ o l ɒ t ɒ
másolás	m aː ʃ o l aː ʃ
másra	m aː ʃ r ɒ
másrészt	m aː ʃ r eː s t
másról	m aː ʃ r oː l
mást	m aː ʃ t
másutt	m aː ʃ u tː
mászik	m aː s i k
mátyás	m aː c aː ʃ
máté	m aː t eː
mától	m aː t oː l
média	m eː d i j ɒ
médiában	m eː d i j aː b ɒ n
mégis	m eː ɡ i ʃ
mégsem	m eː k ʃ ɛ m
méhek	m eː ɦ ɛ k
méhen	m eː ɦ ɛ n
méltán	m eː l t aː n
méltánytalan	m eː l t aː ɲ t ɒ l ɒ n
méltó	m eː l t oː
méltóságteljes	m eː l t oː ʃ aː k t ɛ jː ɛ ʃ
mély	m eː j
mélybe	m eː j b ɛ
mélyebb	m eː j ɛ bː
mélyen	m eː j ɛ n
mélyre	m eː j r ɛ
mélyén	m eː j eː n
mérd	m eː r d
méretben	m eː r ɛ d b ɛ n
méretű	m eː r ɛ t yː
mérföld	m eː r f ø l d
mérföldre	m eː r f ø l d r ɛ
mérgező	m eː r ɡ ɛ z øː
mérni	m eː r n i
mérsékelt	m eː r ʃ eː k ɛ l t
mért	m eː r t
mérte	m eː r t ɛ
mérten	m eː r t ɛ n
mérték	m eː r t eː k
mértékben	m eː r t eː ɡ b ɛ n
mértékű	m eː r t eː k yː
mértük	m eː r t y k
mérők	m eː r øː k
mész	m eː s
mészkő	m eː s k øː
méter	m eː t ɛ r
méteres	m eː t ɛ r ɛ ʃ
méterre	m eː t ɛ rː ɛ
méterről	m eː t ɛ rː øː l
míg	m iː ɡ
mód	m oː d
módja	m oː ɟː ɒ
módokat	m oː d o k ɒ t
módon	m oː d o n
módosítani	m oː d o ʃ iː t ɒ n i
módosított	m oː d o ʃ iː t o tː
módosítására	m oː d o ʃ iː t aː ʃ aː r ɒ
módosításáról	m oː d o ʃ iː t aː ʃ aː r oː l
módosítását	m oː d o ʃ iː t aː ʃ aː t
módosító	m oː d o ʃ iː t oː
módot	m oː d o t
módszer	m oː t s ɛ r
módszerek	m oː t s ɛ r ɛ k
módszerekkel	m oː t s ɛ r ɛ kː ɛ l
módszert	m oː t s ɛ r t
módszertani	m oː t s ɛ r t ɒ n i
mókásan	m oː k aː ʃ ɒ n
móni	m oː n i
mózes	m oː z ɛ ʃ
mögé	m ø ɡ eː
mögött	m ø ɡ ø tː
mögötte	m ø ɡ ø tː ɛ
mögöttünk	m ø ɡ ø tː y ŋ k
mögül	m ø ɡ y l
múlt	m uː l t
múltat	m uː l t ɒ t
múltán	m uː l t aː n
múzeum	m uː z ɛ u m
múzeumban	m uː z ɛ u m b ɒ n
múzeumi	m uː z ɛ u m i
müller	m y lː ɛ r
müncheni	m y ɲ c h ɛ n i
mű	m yː
műanyag	m yː ɒ ɲ ɒ ɡ
műfaj	m yː f ɒ j
műhely	m yː ɦ ɛ j
műhelyek	m yː ɦ ɛ j ɛ k
működik	m yː k ø d i k
működtet	m yː k ø tː ɛ t
működés	m yː k ø d eː ʃ
működésbe	m yː k ø d eː ʒ b ɛ
működési	m yː k ø d eː ʃ i
működő	m yː k ø d øː
műsor	m yː ʃ o r
műsora	m yː ʃ o r ɒ
műsorban	m yː ʃ o r b ɒ n
műsorok	m yː ʃ o r o k
műszaki	m yː s ɒ k i
műszer	m yː s ɛ r
műterme	m yː t ɛ r m ɛ
műtéti	m yː t eː t i
műve	m yː v ɛ
művei	m yː v ɛ j i
műveit	m yː v ɛ j i t
művelt	m yː v ɛ l t
műveltségi	m yː v ɛ l t͡ʃ eː ɡ i
művész	m yː v eː s
művészek	m yː v eː s ɛ k
művészet	m yː v eː s ɛ t
művészetek	m yː v eː s ɛ t ɛ k
művészeti	m yː v eː s ɛ t i
művészi	m yː v eː s i
művésznő	m yː v eː s n øː
művét	m yː v eː t
nadrág	n ɒ d r aː ɡ
nadrágban	n ɒ d r aː ɡ b ɒ n
nagy	n ɒ ɟ
nagyarányú	n ɒ ɟ ɒ r aː ɲ uː
nagyban	n ɒ ɟ b ɒ n
nagybetűs	n ɒ ɟ b ɛ t yː ʃ
nagyjából	n ɒ ɟː aː b oː l
nagykereskedelem	n ɒ c k ɛ r ɛ ʃ k ɛ d ɛ l ɛ m
nagykereskedelmi	n ɒ c k ɛ r ɛ ʃ k ɛ d ɛ l m i
nagyközség	n ɒ c k ø ʃː eː ɡ
nagylelkű	n ɒ ɟ l ɛ l k yː
nagymama	n ɒ ɟ m ɒ m ɒ
nagyméretű	n ɒ ɟ m eː r ɛ t yː
nagymértékben	n ɒ ɟ m eː r t eː ɡ b ɛ n
nagyobb	n ɒ ɟ o bː
nagyon	n ɒ ɟ o n
nagyot	n ɒ ɟ o t
nagypapák	n ɒ c p ɒ p aː k
nagyra	n ɒ ɟ r ɒ
nagyrészt	n ɒ ɟ r eː s t
nagyszámú	n ɒ c s aː m uː
nagysága	n ɒ c ʃ aː ɡ ɒ
nagyságú	n ɒ c ʃ aː ɡ uː
nagyvonalú	n ɒ ɟ v o n ɒ l uː
nagyvállalatok	n ɒ ɟ v aː lː ɒ l ɒ t o k
nagyérdemű	n ɒ ɟ eː r d ɛ m yː
nap	n ɒ p
napból	n ɒ bː oː l
napi	n ɒ p i
napig	n ɒ p i ɡ
napilapok	n ɒ p i l ɒ p o k
napirend	n ɒ p i r ɛ n d
napja	n ɒ p j ɒ
napjai	n ɒ p j ɒ j i
napján	n ɒ p j aː n
napjától	n ɒ p j aː t oː l
napló	n ɒ p l oː
napok	n ɒ p o k
napokban	n ɒ p o ɡ b ɒ n
napokon	n ɒ p o k o n
napon	n ɒ p o n
naponta	n ɒ p o n t ɒ
napot	n ɒ p o t
nappal	n ɒ pː ɒ l
nappali	n ɒ pː ɒ l i
napra	n ɒ p r ɒ
napsugár	n ɒ p ʃ u ɡ aː r
naptól	n ɒ p t oː l
napvilágot	n ɒ p v i l aː ɡ o t
narancs	n ɒ r ɒ n t͡ʃ
narancssárga	n ɒ r ɒ n t͡ʃ ʃ aː r ɡ ɒ
navigáció	n ɒ v i ɡ aː t͡s i j oː
nb	ɛ m b eː
ne	n ɛ
nedves	n ɛ d v ɛ ʃ
negatív	n ɛ ɡ ɒ t iː v
negyed	n ɛ ɟ ɛ d
negyedik	n ɛ ɟ ɛ d i k
negyedszer	n ɛ ɟ ɛ t͡sː ɛ r
negyven	n ɛ ɟ v ɛ n
nehezen	n ɛ h ɛ z ɛ n
nehogy	n ɛ ɦ o ɟ
nehézség	n ɛ ɦ eː ʃː eː ɡ
nehézségek	n ɛ ɦ eː ʃː eː ɡ ɛ k
nehézsúlyú	n ɛ ɦ eː ʃː uː j uː
neked	n ɛ k ɛ d
nekem	n ɛ k ɛ m
neki	n ɛ k i
nekik	n ɛ k i k
nekimegy	n ɛ k i m ɛ ɟ
nemcsak	n ɛ m t͡ʃ ɒ k
nemesi	n ɛ m ɛ ʃ i
nemi	n ɛ m i
nemigen	n ɛ m i ɡ ɛ n
nemmel	n ɛ mː ɛ l
nemrég	n ɛ m r eː ɡ
nemrégiben	n ɛ m r eː ɡ i b ɛ n
nemsokára	n ɛ m ʃ o k aː r ɒ
nemzet	n ɛ m z ɛ t
nemzetek	n ɛ m z ɛ t ɛ k
nemzeti	n ɛ m z ɛ t i
nemzetközi	n ɛ m z ɛ t k ø z i
nemzetség	n ɛ m z ɛ t͡ʃː eː ɡ
net	n ɛ t
neten	n ɛ t ɛ n
neve	n ɛ v ɛ
neved	n ɛ v ɛ d
nevek	n ɛ v ɛ k
neveket	n ɛ v ɛ k ɛ t
nevelik	n ɛ v ɛ l i k
nevelni	n ɛ v ɛ l n i
nevelés	n ɛ v ɛ l eː ʃ
nevelési	n ɛ v ɛ l eː ʃ i
nevet	n ɛ v ɛ t
nevetni	n ɛ v ɛ t n i
nevetséges	n ɛ v ɛ t͡ʃː eː ɡ ɛ ʃ
nevez	n ɛ v ɛ z
nevezetesen	n ɛ v ɛ z ɛ t ɛ ʃ ɛ n
nevezik	n ɛ v ɛ z i k
nevezni	n ɛ v ɛ z n i
nevezés	n ɛ v ɛ z eː ʃ
nevében	n ɛ v eː b ɛ n
nevéhez	n ɛ v eː ɦ ɛ z
nevének	n ɛ v eː n ɛ k
nevére	n ɛ v eː r ɛ
nevét	n ɛ v eː t
ni	n i
nikolett	n i k o l ɛ tː
nincs	n i n t͡ʃ
nincsen	n i n t͡ʃ ɛ n
nincsenek	n i n t͡ʃ ɛ n ɛ k
nitrogén	n i t r o ɡ eː n
noha	n o ɦ ɒ
normál	n o r m aː l
normális	n o r m aː l i ʃ
nos	n o ʃ
notórius	n o t oː r i j u ʃ
november	n o v ɛ m b ɛ r
novemberben	n o v ɛ m b ɛ r b ɛ n
novemberi	n o v ɛ m b ɛ r i
noé	n o j eː
nulla	n u lː ɒ
nyakkendő	ɲ ɒ kː ɛ n d øː
nyakába	ɲ ɒ k aː b ɒ
nyaralás	ɲ ɒ r ɒ l aː ʃ
nyelek	ɲ ɛ l ɛ k
nyelvetek	ɲ ɛ l v ɛ t ɛ k
nyelvi	ɲ ɛ l v i
nyelvészek	ɲ ɛ l v eː s ɛ k
nyelvünk	ɲ ɛ l v y ŋ k
nyelvű	ɲ ɛ l v yː
nyereg	ɲ ɛ r ɛ ɡ
nyeremény	ɲ ɛ r ɛ m eː ɲ
nyerni	ɲ ɛ r n i
nyers	ɲ ɛ r ʃ
nyert	ɲ ɛ r t
nyertes	ɲ ɛ r t ɛ ʃ
nyilatkozatok	ɲ i l ɒ t k o z ɒ t o k
nyilatkozatát	ɲ i l ɒ t k o z ɒ t aː t
nyilatkozik	ɲ i l ɒ t k o z i k
nyilatkozni	ɲ i l ɒ t k o z n i
nyilván	ɲ i l v aː n
nyilvános	ɲ i l v aː n o ʃ
nyilvánosság	ɲ i l v aː n o ʃː aː ɡ
nyilvánosságra	ɲ i l v aː n o ʃː aː ɡ r ɒ
nyilvántartás	ɲ i l v aː n t ɒ r t aː ʃ
nyilvántartása	ɲ i l v aː n t ɒ r t aː ʃ ɒ
nyilvántartásba	ɲ i l v aː n t ɒ r t aː ʒ b ɒ
nyilvántartási	ɲ i l v aː n t ɒ r t aː ʃ i
nyilvánvaló	ɲ i l v aː ɱ v ɒ l oː
nyilvánvalóan	ɲ i l v aː ɱ v ɒ l oː ɒ n
nyilvánvalóvá	ɲ i l v aː ɱ v ɒ l oː v aː
nyit	ɲ i t
nyitott	ɲ i t o tː
nyitottak	ɲ i t o tː ɒ k
nyitva	ɲ i t v ɒ
nyitó	ɲ i t oː
nyolcadik	ɲ o l t͡s ɒ d i k
nyolcvanas	ɲ o l t͡s v ɒ n ɒ ʃ
nyolcvankettő	ɲ o l t͡s v ɒ ŋ k ɛ tː øː
nyoma	ɲ o m ɒ
nyomai	ɲ o m ɒ j i
nyomaték	ɲ o m ɒ t eː k
nyomni	ɲ o m n i
nyomon	ɲ o m o n
nyomor	ɲ o m o r
nyomott	ɲ o m o tː
nyomozás	ɲ o m o z aː ʃ
nyomozó	ɲ o m o z oː
nyomozóiroda	ɲ o m o z oː j i r o d ɒ
nyomozók	ɲ o m o z oː k
nyomtatványok	ɲ o m t ɒ t v aː ɲ o k
nyomtatás	ɲ o m t ɒ t aː ʃ
nyomtatási	ɲ o m t ɒ t aː ʃ i
nyomtató	ɲ o m t ɒ t oː
nyomában	ɲ o m aː b ɒ n
nyomán	ɲ o m aː n
nyomás	ɲ o m aː ʃ
nyugat	ɲ u ɡ ɒ t
nyugati	ɲ u ɡ ɒ t i
nyugatra	ɲ u ɡ ɒ t r ɒ
nyugdíj	ɲ u ɡ d iː j
nyugdíjak	ɲ u ɡ d iː j ɒ k
nyugdíjba	ɲ u ɡ d iː j b ɒ
nyuggerek	ɲ u ɡː ɛ r ɛ k
nyugodtan	ɲ u ɡ o tː ɒ n
nyugszik	ɲ u k s i k
nyugtalanság	ɲ u k t ɒ l ɒ n ʃ aː ɡ
nyugtalanító	ɲ u k t ɒ l ɒ n iː t oː
nyulak	ɲ u l ɒ k
nyuszi	ɲ u s i
nyár	ɲ aː r
nyári	ɲ aː r i
nyáron	ɲ aː r o n
nyílik	ɲ iː l i k
nyílt	ɲ iː l t
nyílás	ɲ iː l aː ʃ
nyíregyházi	ɲ iː r ɛ c h aː z i
nyög	ɲ ø ɡ
nyújt	ɲ uː j t
nyúl	ɲ uː l
náci	n aː t͡s i
nádor	n aː d o r
nála	n aː l ɒ
nálad	n aː l ɒ d
nálam	n aː l ɒ m
náluk	n aː l u k
nálunk	n aː l u ŋ k
négy	n eː ɟ
négyes	n eː ɟ ɛ ʃ
négyszemközt	n eː c s ɛ m k ø s t
négyszer	n eː c s ɛ r
négyzetméter	n eː ɟ z ɛ t m eː t ɛ r
néha	n eː ɦ ɒ
néhanapján	n eː ɦ ɒ n ɒ p j aː n
néhányan	n eː ɦ aː ɲ ɒ n
néktek	n eː k t ɛ k
nélkül	n eː l k y l
nélkülözhetetlen	n eː l k y l ø s h ɛ t ɛ t l ɛ n
némely	n eː m ɛ j
német	n eː m ɛ t
németek	n eː m ɛ t ɛ k
németh	n eː m ɛ t
némileg	n eː m i l ɛ ɡ
néni	n eː n i
nép	n eː p
népek	n eː p ɛ k
népet	n eː p ɛ t
népi	n eː p i
népirtás	n eː p i r t aː ʃ
néprajzi	n eː p r ɒ j z i
népszavazás	n eː p s ɒ v ɒ z aː ʃ
népszerű	n eː p s ɛ r yː
népét	n eː p eː t
név	n eː v
néven	n eː v ɛ n
névtelen	n eː f t ɛ l ɛ n
névvel	n eː vː ɛ l
néz	n eː z
nézd	n eː z d
nézek	n eː z ɛ k
nézem	n eː z ɛ m
nézet	n eː z ɛ t
nézetek	n eː z ɛ t ɛ k
nézett	n eː z ɛ tː
nézettség	n eː z ɛ t͡ʃː eː ɡ
nézte	n eː s t ɛ
néztem	n eː s t ɛ m
nézve	n eː z v ɛ
nézzenek	n eː zː ɛ n ɛ k
nézzétek	n eː zː eː t ɛ k
nézzük	n eː zː y k
nézünk	n eː z y ŋ k
növekedés	n ø v ɛ k ɛ d eː ʃ
növekedése	n ø v ɛ k ɛ d eː ʃ ɛ
növekedési	n ø v ɛ k ɛ d eː ʃ i
növekedést	n ø v ɛ k ɛ d eː ʃ t
növekedését	n ø v ɛ k ɛ d eː ʃ eː t
növekedésével	n ø v ɛ k ɛ d eː ʃ eː v ɛ l
növelte	n ø v ɛ l t ɛ
növelése	n ø v ɛ l eː ʃ ɛ
növelésére	n ø v ɛ l eː ʃ eː r ɛ
növelését	n ø v ɛ l eː ʃ eː t
növény	n ø v eː ɲ
növények	n ø v eː ɲ ɛ k
növényi	n ø v eː ɲ i
növényzet	n ø v eː ɲ z ɛ t
nő	n øː
nőhet	n øː ɦ ɛ t
női	n øː j i
nőies	n øː j i j ɛ ʃ
nők	n øː k
nőnek	n øː n ɛ k
nőstény	n øː ʃ t eː ɲ
nőt	n øː t
nőtt	n øː tː
nővér	n øː v eː r
objektumok	o b j ɛ k t u m o k
objektív	o b j ɛ k t iː v
oda	o d ɒ
odafigyel	o d ɒ f i ɟ ɛ l
ok	o k
oka	o k ɒ
okai	o k ɒ j i
okból	o ɡ b oː l
okirat	o k i r ɒ t
oklevelek	o k l ɛ v ɛ l ɛ k
oklevelet	o k l ɛ v ɛ l ɛ t
oklevél	o k l ɛ v eː l
okmány	o k m aː ɲ
okmányok	o k m aː ɲ o k
okok	o k o k
okokat	o k o k ɒ t
okokra	o k o k r ɒ
okos	o k o ʃ
okot	o k o t
okoz	o k o z
okozhat	o k o s h ɒ t
okoznak	o k o z n ɒ k
okozott	o k o z o tː
okozta	o k o s t ɒ
okozó	o k o z oː
okra	o k r ɒ
oktatás	o k t ɒ t aː ʃ
oktatása	o k t ɒ t aː ʃ ɒ
oktatásban	o k t ɒ t aː ʒ b ɒ n
oktatói	o k t ɒ t oː j i
október	o k t oː b ɛ r
októberben	o k t oː b ɛ r b ɛ n
októberi	o k t oː b ɛ r i
okát	o k aː t
olaj	o l ɒ j
olajos	o l ɒ j o ʃ
olasz	o l ɒ s
olaszok	o l ɒ s o k
olaszország	o l ɒ s o r s aː ɡ
olaszországban	o l ɒ s o r s aː ɡ b ɒ n
olcsó	o l t͡ʃ oː
olcsóbb	o l t͡ʃ oː bː
olcsóbban	o l t͡ʃ oː bː ɒ n
oldal	o l d ɒ l
oldalak	o l d ɒ l ɒ k
oldalakon	o l d ɒ l ɒ k o n
oldali	o l d ɒ l i
oldalon	o l d ɒ l o n
oldalra	o l d ɒ rː ɒ
oldalról	o l d ɒ rː oː l
oldalsó	o l d ɒ l ʃ oː
oldalt	o l d ɒ l t
oldalunkon	o l d ɒ l u ŋ k o n
oldalán	o l d ɒ l aː n
oldalát	o l d ɒ l aː t
oldható	o l t h ɒ t oː
olimpia	o l i m p i j ɒ
olvadás	o l v ɒ d aː ʃ
olvas	o l v ɒ ʃ
olvasható	o l v ɒ ʃ h ɒ t oː
olvasni	o l v ɒ ʃ n i
olvasom	o l v ɒ ʃ o m
olvassa	o l v ɒ ʃː ɒ
olvasási	o l v ɒ ʃ aː ʃ i
olvasó	o l v ɒ ʃ oː
olvasók	o l v ɒ ʃ oː k
olvasót	o l v ɒ ʃ oː t
olyan	o j ɒ n
olyanok	o j ɒ n o k
olyanokat	o j ɒ n o k ɒ t
olyasmi	o j ɒ ʃ m i
olykor	o j k o r
ominózus	o m i n oː z u ʃ
online	o n l aː j n
onnan	o nː ɒ n
operatív	o p ɛ r ɒ t iː v
optikai	o p t i k ɒ j i
optimista	o p t i m i ʃ t ɒ
optimális	o p t i m aː l i ʃ
orbán	o r b aː n
orosz	o r o s
oroszok	o r o s o k
oroszország	o r o s o r s aː ɡ
orrsövény	o r ʃ ø v eː ɲ
orsolya	o r ʃ o j ɒ
országgyűlés	o r s aː ɡ ɟ yː l eː ʃ
országos	o r s aː ɡ o ʃ
országosan	o r s aː ɡ o ʃ ɒ n
országút	o r s aː ɡ uː t
orvos	o r v o ʃ
orvoshoz	o r v o ʃ h o z
orvosok	o r v o ʃ o k
orvosolható	o r v o ʃ o l ɦ ɒ t oː
orvost	o r v o ʃ t
orvostanhallgatók	o r v o ʃ t ɒ n ɦ ɒ l ɡ ɒ t oː k
ossza	o sː ɒ
osszák	o sː aː k
ostya	o ʃ c ɒ
oszd	o z d
osztanak	o s t ɒ n ɒ k
osztható	o s t h ɒ t oː
osztják	o s c aː k
osztottak	o s t o tː ɒ k
osztották	o s t o tː aː k
osztrák	o s t r aː k
osztály	o s t aː j
osztályban	o s t aː j b ɒ n
osztályos	o s t aː j o ʃ
osztályozás	o s t aː j o z aː ʃ
osztályú	o s t aː j uː
oszét	o s eː t
ottani	o tː ɒ n i
otthon	o t h o n
otthoni	o t h o n i
otthonok	o t h o n o k
otthonról	o t h o n r oː l
padlón	p ɒ d l oː n
padon	p ɒ d o n
pajzs	p ɒ j ʒ
pakisztáni	p ɒ k i s t aː n i
paksi	p ɒ k ʃ i
