aad	aː t
moet	m u t
moeten	m u t ə n
mogelijk	m oː ɣ ə l ə k
mogelijkheid	m oː ɣ ə l ə k ɦ ɛ i̯ t
mogen	m oː ɣ ə n
mohammed	m oː ɦ ɑ m ɛ t
moker	m oː k ə r
moleculair	m oː l ə k y l ɛː r
molecuul	m oː l ə k y l
molen	m oː l ə n
molenaar	m oː l ə n aː r
mollen	m ɔ l ə n
moment	m oː m ɛ n t
mond	m ɔ n t
monddood	m ɔ n d oː t
mondiaal	m ɔ n d i aː l
monding	m ɔ n d ɪ ŋ
monitor	m oː n i t ɔ r
monnik	m ɔ n ɪ k
monoplan	m oː n oː p l ɑ n
monopolie	m oː n oː p oː l i
monotoon	m oː n oː t oː n
monster	m ɔ n s t ə r
monument	m oː n y m ɛ n t
mooi	m oː i̯
mooier	m oː j ə r
mooist	m oː i̯ s t
moord	m oː r t
moorden	m oː r d ə n
moordenaar	m oː r d ə n aː r
moordkuil	m oː r t k œ y̯ l
mooren	m oː r ə n
mop	m ɔ p
moraal	m oː r aː l
moreel	m oː r eː l
morgen	m ɔ r ɣ ə n
mortier	m ɔ r t iː r
moskee	m ɔ s k eː
moskou	m ɔ s k ɑ u̯
moslim	m ɔ s l ɪ m
mossel	m ɔ s ə l
most	m ɔ s t
mosterd	m ɔ s t ə r t
mot	m ɔ t
motie	m oː t s i
motief	m oː t i f
motormuis	m oː t ɔ r m œ y̯ s
motorrijder	m oː t ɔ r r ɛ i̯ d ə r
motten	m ɔ t ə n
mout	m ɑ u̯ t
mozaïek	m oː z aː i k
mudjevol	m ʏ t j ə v ɔ l
mug	m ʏ x
muggenzifter	m ʏ ɣ ə n z ɪ f t ə r
muiden	m œ y̯ d ə n
muis	m œ y̯ s
mulder	m ʏ l d ə r
multiculti	m ʏ l t i k ʏ l t i
multicultureel	m ʏ l t i k ʏ l t y r eː l
multimiljonair	m ʏ l t i m ɪ l j oː n ɛː r
multinational	m ʏ l t i n ɛ ʃ ə n ə l
municipaliteit	m y n i s i p aː l i t ɛ i̯ t
munt	m ʏ n t
munten	m ʏ n t ə n
muntstuk	m ʏ n t s t ʏ k
museum	m y z eː ʏ m
muskusrat	m ʏ s k ʏ s r ɑ t
must	m ʏ s t
mutant	m y t ɑ n t
muts	m ʏ t s
muziek	m y z i k
muziekschool	m y z i k s x oː l
muzikant	m y z i k ɑ n t
mystiek	m ɪ s t i k
mythologie	m i t oː l oː ɣ i
na	n aː
naakt	n aː k t
naaktstrand	n aː k t s t r ɑ n t
naald	n aː l t
naam	n aː m
naambord	n aː m b ɔ r t
naar	n aː r
naargelang	n aː r ɣ ə l ɑ ŋ
nacht	n ɑ x t
nachtmerrie	n ɑ x t m ɛ r i
nader	n aː d ə r
naderen	n aː d ə r ə n
nadruk	n aː d r ʏ k
nagel	n aː ɣ ə l
nagellak	n aː ɣ ə l l ɑ k
nagerecht	n aː ɣ ə r ɛ x t
najaar	n aː j aː r
nakijken	n aː k ɛ i̯ k ə n
nalatenschap	n aː l aː t ə n s x ɑ p
namaken	n aː m aː k ə n
namiddag	n aː m ɪ d ɑ x
naomi	n aː oː m i
nap	n ɑ p
nasmaak	n aː s m aː k
natasja	n aː t ɑ ʃ aː
natiestaat	n aː t s i s t aː t
nationaal	n aː t ʃ oː n aː l
natrium	n aː t r i ʏ m
natuur	n aː t y r
natuurgeweld	n aː t yː r ɣ ə ʋ ɛ l t
natuurijs	n aː t y r ɛ i s
natuurkunde	n aː t y r k ʏ n d ə
natuurlijk	n aː t y r l ə k
natuursteen	n aː t yː r s t eː n
nauwelijks	n ɑ u̯ ə l ə k s
nauwkeurig	n ɑ u̯ k øː r ə x
navo	n aː v oː
navolging	n aː v ɔ l ɣ ɪ ŋ
nazaat	n aː z aː t
nazorg	n aː z ɔ r x
necrose	n eː k r oː z ə
neder	n eː d ə r
nederland	n eː d ə r l ɑ n t
nederlanden	n eː d ə r l ɑ n d ə n
nederlands	n eː d ə r l ɑ n t s
nederlandse	n eː d ə r l ɑ n t s ə
nederlandstalig	n eː d ə r l ɑ n t s t aː l ə x
nederweert	n eː d ə r ʋ eː r t
nederzetting	n eː d ə r z ɛ t ɪ ŋ
nee	n eː
neen	n eː n
neerslachtig	n eː r s l ɑ x t ə x
neerslag	n eː r s l ɑ x
negatief	n eː x aː t i f
negende	n eː ɣ ə n d ə
negenhonderd	n eː ɣ ə n ɦ ɔ n d ə r t
negentiende	n eː ɣ ə n t i n d ə
negentig	n eː ɣ ə n t ə x
nep	n ɛ p
neptunus	n ɛ p t y n ʏ s
nergens	n ɛ r ɣ ə n s
nest	n ɛ s t
net	n ɛ t
netjes	n ɛ t j ə s
netwerk	n ɛ t ʋ ɛ r k
neuk	n øː k
neuken	n øː k ə n
neurochirurg	n øː r oː ʃ i r ʏ r x
neutraliseren	n øː t r aː l i z eː r ə n
nevel	n eː v ə l
nicht	n ɪ x t
nicodemus	n i k oː d eː m ʏ s
niels	n i l s
niemand	n i m ɑ n t
nier	n i r
nietwaar	n i t ʋ aː r
nieuwbouw	n i u̯ b ɑ u̯
nieuwbouwhuis	n i u̯ b ɑ u̯ ɦ œ y̯ s
nieuwegein	n i u̯ ə ɣ ɛ i̯ n
nieuwkomer	n i u̯ k oː m ə r
nieuws	n i u̯ s
nieuwsgierig	n i u̯ s x iː r ə x
nieuwsgierigheid	n i u̯ s x iː r ə x ɦ ɛ i̯ t
nijd	n ɛ i̯ t
nijl	n ɛ i̯ l
nijlpaard	n ɛ i̯ l p aː r t
nijmegen	n ɛ i̯ m eː ɣ ə n
nijverdal	n ɛ i̯ v ə r d ɑ l
niks	n ɪ k s
nimmer	n ɪ m ə r
nis	n ɪ s
niveau	n i v oː
noach	n oː ɑ x
nodebeek	n oː d ə b eː k
nodig	n oː d ə x
noemen	n u m ə n
noemer	n u m ə r
nog	n ɔ x
nogal	n ɔ ɣ ɑ l
nogmaals	n ɔ x m aː l s
nok	n ɔ k
nominatie	n oː m i n aː t s i
nood	n oː t
noodlottig	n oː t l ɔ t ə x
noodweer	n oː t ʋ eː r
noodzaak	n oː t s aː k
nooit	n oː i t
noord	n oː r t
noorden	n oː r d ə n
noordwaarts	n oː r t ʋ aː r t s
noordzee	n oː r t s eː
noot	n oː t
nor	n ɔ r
nora	n oː r aː
normaal	n ɔ r m aː l
notarieel	n oː t aː r i eː l
nou	n ɑ u̯
nova	n oː v aː
novelle	n oː v ɛ l ə
novum	n oː v ʏ m
nozem	n oː z ə m
nu	n y
nuance	n y ɑ n s ə
nuancering	n y ɑ n s eː r ɪ ŋ
nucleair	n y k l eː ɛː r
nudorp	n y d ɔ r p
nummer	n ʏ m ə r
nuntius	n ʏ n t s i ʏ s
nut	n ʏ t
nutsman	n ʏ t s m ɑ n
ober	oː b ə r
obesitas	oː b eː s i t ɑ s
obstakel	ɔ p s t aː k ə l
oceaan	oː s eː j aː n
och	ɔ x
oculair	oː k y l ɛː r
ode	oː d ə
oefenen	u f ə n ə n
oefent	u f ə n t
oekaze	u k aː z ə
oekraïne	u k r aː i n ə
oeps	u p s
oercontinent	uː r k ɔ n t i n ɛ n t
oester	u s t ə r
oesters	u s t ə r s
oezbekistan	u z b eː k i s t ɑ n
of	ɔ f
offensief	ɔ f ɛ n s i f
offer	ɔ f ə r
ofschoon	ɔ f s x oː n
ofte	ɔ f t ə
ogen	oː ɣ ə n
ogenblik	oː ɣ ə n b l ɪ k
oirschot	oː r s x ɔ t
oisterwijk	oː s t ə r ʋ ɛ i k
ok	oː k aː
oke	ɔ k e ɪ̯
oldenzaal	ɔ l d ə n z aː l
olie	oː l i
olielamp	oː l i l ɑ m p
olietanker	oː l i t ɛ ŋ k ə r
oliewinning	oː l i ʋ ɪ n ɪ ŋ
olifant	oː l i f ɑ n t
olifantenpad	oː l i f ɑ n t ə n p ɑ t
olijf	oː l ɛ i̯ f
olijfolie	oː l ɛ i̯ f oː l iː
ollie	ɔ l i
om	ɔ m
oma	oː m aː
omarmen	ɔ m ɑ r m ə n
ombouwen	ɔ m b ɑ u̯ ə n
ombudsman	ɔ m b ʏ t s m ɑ n
omdat	ɔ m d ɑ t
omelet	oː m ə l ɛ t
omgang	ɔ m ɣ ɑ ŋ
omgeven	ɔ m ɣ eː v ə n
omgeving	ɔ m ɣ eː v ɪ ŋ
omhakken	ɔ m ɦ ɑ k ə n
omhelzing	ɔ m ɦ ɛ l z ɪ ŋ
omkleden	ɔ m k l eː d ə n
omkoping	ɔ m k oː p ɪ ŋ
omleiding	ɔ m l ɛ i d ɪ ŋ
ommen	ɔ m ə n
ommetje	ɔ m ə t j ə
omschreven	ɔ m s x r eː v ə n
omschrijven	ɔ m s x r ɛ i v ə n
omsingelen	ɔ m s ɪ ŋ ə l ə n
omslag	ɔ m s l ɑ x
omstandigheid	ɔ m s t ɑ n d ə x ɦ ɛ i̯ t
omvang	ɔ m v ɑ ŋ
omvat	ɔ m v ɑ t
omvatten	ɔ m v ɑ t ə n
omzet	ɔ m z ɛ t
onafhankelijk	ɔ n ɑ f ɦ ɑ ŋ k ə l ə k
onbegrensd	ɔ n b ə ɣ r ɛ n s t
onbegrijpelijk	ɔ m b ə ɣ r ɛ i̯ p ə l ə k
onbelangrijk	ɔ m b ə l ɑ ŋ r ɛ i̯ k
onbenul	ɔ n b ə n ʏ l
onbereikbaar	ɔ n b ə r ɛ i̯ k b aː r
onbestaanbaar	ɔ m b ə s t aː n b aː r
onbuigzaam	ɔ n b œ y̯ x s aː m
onder	ɔ n d ə r
onderbreken	ɔ n d ə r b r eː k ə n
onderdompelen	ɔ n d ə r d ɔ m p ə l ə n
onderdrukken	ɔ n d ə r d r ʏ k ə n
ondergaan	ɔ n d ə r ɣ aː n
ondergeschikt	ɔ n d ə r ɣ ə s x ɪ k t
ondergeschikte	ɔ n d ə r ɣ ə s x ɪ k t ə
ondergoed	ɔ n d ə r ɣ uː t
ondergrens	ɔ n d ə r ɣ r ɛ n s
onderhandelen	ɔ n d ə r ɦ ɑ n d ə l ə n
ondermijnen	ɔ n d ə r m ɛ i̯ n ə n
onderonsje	ɔ n d ə r ɔ n ʃ ə
onderricht	ɔ n d ə r r ɪ x t
onderscheid	ɔ n d ə r s x ɛ i̯ t
onderscheiden	ɔ n d ə r s x ɛ i̯ d ə n
onderscheiding	ɔ n d ə r s x ɛ i̯ d ɪ ŋ
onderscheidt	ɔ n d ə r s x ɛ i̯ t
onderscheppen	ɔ n d ə r s x ɛ p ə n
onderschrijven	ɔ n d ə r s x r ɛ i̯ v ə n
ondersoort	ɔ n d ə r s oː r t
onderstaand	ɔ n d ə r s t aː n t
onderstaande	ɔ n d ə r s t aː n d ə
onderstel	ɔ n d ə r s t ɛ l
onderstellen	ɔ n d ə r s t ɛ l ə n
ondersteunen	ɔ n d ə r s t øː n ə n
onderstrepen	ɔ n d ə r s t r eː p ə n
ondertekenen	ɔ n d ə r t eː k ə n ə n
ondervangen	ɔ n d ə r v ɑ ŋ ə n
ondervinden	ɔ n d ə r v ɪ n d ə n
ondervragen	ɔ n d ə r v r aː ɣ ə n
onderwereld	ɔ n d ə r ʋ eː r ə l t
onderwerpen	ɔ n d ə r ʋ ɛ r p ə n
onderwijs	ɔ n d ə r ʋ ɛ i̯ s
onderwijzer	ɔ n d ə r ʋ ɛ i̯ z ə r
onderzoek	ɔ n d ə r z u k
onderzoeken	ɔ n d ə r z u k ə n
onderzoeker	ɔ n d ə r z u k ə r
onderzoeksmethode	ɔ n d ə r z u k s m eː t oː d ə
onderzoeksstation	ɔ n d ə r z u k s t aː ʃ ɔ n
onderzoeksvraag	ɔ n d ə r z u k s f r aː x
ondeugdelijk	ɔ n d øː x d ə l ə k
onduidelijk	ɔ n d œ y̯ d ə l ə k
ongedierte	ɔ n ɣ ə d iː r t ə
ongehoorzaam	ɔ n ɣ ə ɦ ɔː r z aː m
ongehuwd	ɔ ŋ ɣ ə ɦ y u̯ t
ongeloofwaardig	ɔ n ɣ ə l oː f ʋ aː r d ə x
ongeluk	ɔ ŋ ɣ ə l ʏ k
ongeval	ɔ n ɣ ə v ɑ l
ongewassen	ɔ ŋ ɣ ə ʋ ɑ s ə n
ongrondwettelijk	ɔ n ɣ r ɔ n t ʋ ɛ t ə l ə k
onheil	ɔ n ɦ ɛ i̯ l
onheus	ɔ n ɦ øː s
onhoudbaar	ɔ n ɦ ɑ u̯ t b aː r
online	ɔ n l ɑ i̯ n
onlogisch	ɔ n l oː ɣ i s
onmiddellijk	ɔ n m ɪ d ə l ə k
onmogelijk	ɔ n m oː ɣ ə l ə k
onno	ɔ n oː
onnodig	ɔ n oː d ə x
onnozel	ɔ n oː z ə l
onopvallend	ɔ n ɔ p f ɑ l ə n t
onpartijdig	ɔ m p ɑ r t ɛ i̯ d ə x
onrust	ɔ n r ʏ s t
ons	ɔ n s
ontaarden	ɔ n t aː r d ə n
ontberingen	ɔ n t b eː r ɪ ŋ ə n
ontbinden	ɔ n t b ɪ n d ə n
ontbranden	ɔ n t b r ɑ n d ə n
ontbreken	ɔ n t b r eː k ə n
ontdekken	ɔ n d ɛ k ə n
ontdekkingsreiziger	ɔ n d ɛ k ɪ ŋ s r ɛ i̯ z ə ɣ ə r
ontdooien	ɔ n t d oː i̯ ə n
onteigenen	ɔ n t ɛ i̯ ɣ ə n ə n
onterecht	ɔ n t ə r ɛ x t
ontgelden	ɔ n t ɣ ɛ l d ə n
ontgroening	ɔ n t x r u n ɪ ŋ
onthoofd	ɔ n t ɦ oː f t
onthoofden	ɔ n t ɦ oː f d ə n
onthouden	ɔ n t ɦ ɑ u̯ d ə n
onthullen	ɔ n t ɦ ʏ l ə n
ontkennen	ɔ n t k ɛ n ə n
ontkenning	ɔ n t k ɛ n ɪ ŋ
ontkenningsfase	ɔ n t k ɛ n ɪ ŋ f aː z ə
ontketenen	ɔ n t k eː t ə n ə n
ontkomen	ɔ n t k oː m ə n
ontladen	ɔ n t l aː d ə n
ontlasten	ɔ n t l ɑ s t ə n
ontleden	ɔ n t l eː d ə n
ontlenen	ɔ n t l eː n ə n
ontluchten	ɔ n t l ʏ x t ə n
ontnemen	ɔ n t n eː m ə n
ontploffen	ɔ n t p l ɔ f ə n
ontploffing	ɔ n t p l ɔ f ɪ ŋ
ontplooien	ɔ n t p l oː i̯ ə n
ontpoppen	ɔ n t p ɔ p ə n
ontraden	ɔ n t r aː d ə n
ontrijzen	ɔ n t r ɛ i z ə n
ontroeren	ɔ n t r u r ə n
ontruimen	ɔ n t r œ y̯ m ə n
ontslaan	ɔ n t s l aː n
ontslagrecht	ɔ n t s l ɑ x r ɛ x t
ontsluiten	ɔ n t s l œ y̯ t ə n
ontspannen	ɔ n t s p ɑ n ə n
ontsteken	ɔ n t s t eː k ə n
ontsteking	ɔ n t s t eː k ɪ ŋ
ontstijgen	ɔ n t s t ɛ i̯ ɣ ə n
onttrekken	ɔ n t t r ɛ k ə n
ontucht	ɔ n t ʏ x t
ontvang	ɔ n t f ɑ ŋ
ontvangen	ɔ n t f ɑ ŋ ə n
ontvanger	ɔ n t f ɑ ŋ ə r
ontvluchten	ɔ n t v l ʏ x t ə n
ontvoeren	ɔ n t f u r ə n
ontvouwen	ɔ n t v ɑ u̯ ə n
ontwaken	ɔ n t ʋ aː k ə n
ontwaren	ɔ n t ʋ aː r ə n
ontwerpen	ɔ n t ʋ ɛ r p ə n
ontwikkelen	ɔ n t ʋ ɪ k ə l ə n
ontwikkeling	ɔ n t ʋ ɪ k ə l ɪ ŋ
ontwikkelingsland	ɔ n t ʋ ɪ k ə l ɪ ŋ s l ɑ n t
ontwrichten	ɔ n t v r ɪ x t ə n
ontzeggen	ɔ n t z ɛ ɣ ə n
onverschilligheid	ɔ n v ə r s x ɪ l ə x ɦ ɛ i t
onwaardig	ɔ n ʋ aː r d ə x
onweer	ɔ n ʋ eː r
onwel	ɔ n ʋ ɛ l
onwennig	ɔ n ʋ ɛ n ə x
onwetend	ɔ n ʋ eː t ə n t
onze	ɔ n z ə
onzichtbaarheid	ɔ n z ɪ x t b aː r ɦ ɛ i̯ t
oog	oː x
ooggetuige	oː x ə t œ y̯ ɣ ə
oogheelkundig	oː x ɦ eː l k ʏ n d ə x
ooglid	oː x l ɪ t
oogst	oː x s t
ooievaar	oː i̯ ə v aː r
ooit	oː i̯ t
ook	oː k
oom	oː m
oor	oː r
oorbeek	oː r b eː k
oord	oː r t
oordeel	oː r d eː l
oorlog	oː r l ɔ x
oorlogsgeweld	oː r l ɔ x s x ə ʋ ɛ l t
oorlogsschip	oː r l ɔ x s x ɪ p
oormerken	oː r m ɛ r k ə n
oorsprong	oː r s p r ɔ ŋ
oosten	oː s t ə n
oostenrijk	oː s t ə n r ɛ i̯ k
oosterbuur	oː s t ə r b yː r
oosterhof	oː s t ə r ɦ ɔ f
oostwaarts	oː s t ʋ aː r t s
oostzee	oː s t s eː
op	ɔ p
opbellen	ɔ b ɛ l ə n
opbouw	ɔ p b ɑ u̯
opbouwen	ɔ p b ɑ u̯ ə n
opbrengst	ɔ p b r ɛ ŋ s t
opdagen	ɔ p d aː ɣ ə n
opdracht	ɔ p d r ɑ x t
opdrachtgever	ɔ p d r ɑ x t x eː v ə r
opdrinken	ɔ p d r i ŋ k ə n
open	oː p ə n
openbreken	oː p ə n b r eː k ə n
opening	oː p ə n ɪ ŋ
opera	oː p ə r aː
operatie	oː p ə r aː t s i
operette	oː p ə r ɛ t ə
opeten	ɔ p eː t ə n
opgaan	ɔ p x aː n
opgeruimd	ɔ p x ə r œ y̯ m t
opgeven	ɔ p x eː v ə n
opgewonden	ɔ p x ə ʋ ɔ n d ə n
opgraven	ɔ p x r aː v ə n
opgraving	ɔ p x r aː v ɪ ŋ
ophangen	ɔ p ɦ ɑ ŋ ə n
ophouden	ɔ p ɦ ʌ u̯ d ə n
opinie	oː p i n i
opknappen	ɔ p k n ɑ p ə n
opkomen	ɔ p k oː m ə n
oploop	ɔ p l oː p
oplossen	ɔ p l ɔ s ə n
opmaken	ɔ p m aː k ə n
opmars	ɔ p m ɑ r s
opnemen	ɔ p n eː m ə n
opnieuw	ɔ p n i u̯
opperbevelhebber	ɔ p ə r b ə v ɛ l ɦ ɛ b ə r
oppervlakte	ɔ p ə r v l ɑ k t ə
oppervlaktewater	ɔ p ə r v l ɑ k t ə ʋ aː t ə r
oppositie	ɔ p oː z i t s i
opruimen	ɔ p r œ y̯ m ə n
opstaan	ɔ p s t aː n
opstand	ɔ p s t ɑ n t
opstel	ɔ p s t ɛ l
opstijgen	ɔ p s t ɛ i̯ ɣ ə n
optie	ɔ p s i
optimaal	ɔ p t i m aː l
optimalisatie	ɔ p t i m aː l i z aː t s i
optrekken	ɔ p t r ɛ k ə n
opvang	ɔ p f ɑ ŋ
opvijzelen	ɔ p f ɛ i̯ z ɛ l ɛ n
opwarmen	ɔ p ʋ ɑ r m ə n
opzetten	ɔ p z ɛ t ə n
orakel	oː r aː k ə l
oranje	oː r ɑ n j ə
oratorium	oː r aː t oː r i ʏ m
orchidee	ɔ r x i d eː
orde	ɔ r d ə
order	ɔ r d ə r
ordner	ɔ r t n ə r
oregano	oː r eː ɣ aː n oː
orgaan	ɔ r ɣ aː n
organisatie	ɔ r ɣ aː n i s aː t s i
orgasme	ɔ r ɣ ɑ s m ə
orgel	ɔ r ɣ ə l
orkaan	ɔ r k aː n
orkaanseizoen	ɔ r k aː n s ɛ i̯ z u n
orkest	ɔ r k ɛ s t
orthodox	ɔ r t oː d ɔ k s
os	ɔ s
oss	ɔ s
osteoporose	ɔ s t eː oː p oː r oː z ə
ouderschap	ɑ u̯ d ə r s x ɑ p
oudtante	ɑ u̯ t ɑ n t ə
ouwe	ɑ u̯ ə
ovaal	oː v aː l
ovatie	oː v aː t s i
oven	oː v ə n
over	oː v ə r
overal	oː v ə r ɑ l
overbieden	oː v ə r b i d ə n
overblijfsel	oː v ə r b l ɛ i̯ f s ə l
overblijven	oː v ə r b l ɛ i̯ v ə n
overdag	oː v ə r d ɑ x
overdenken	oː v ə r d ɛ ŋ k ə n
overdoen	oː v ə r d u n
overeenkomst	oː v ə r eː n k ɔ m s t
overgang	oː v ə r ɣ ɑ ŋ
overgewicht	oː v ə r ɣ ə ʋ ɪ x t
overhalen	oː v ə r ɦ aː l ə n
overheidsgeld	oː v ə r ɦ ɛ i̯ t s x ɛ l t
overig	oː v ə r ə x
overijssel	oː v ə r ɛ i̯ s ə l
overkoken	oː v ə r k oː k ə n
overkomen	oː v ə r k oː m ə n
overlast	oː v ə r l ɑ s t
overlaten	oː v ə r l aː t ə n
overledene	oː v ə r l eː d ə n ə
overlijden	oː v ə r l ɛ i̯ d ə n
overmacht	oː v ə r m ɑ x t
overmeesteren	oː v ə r m eː s t ə r ə n
overnachten	oː v ə r n ɑ x t ə n
overname	oː v ə r n aː m ə
overnieuw	oː v ə r n i u̯
overplaatsen	oː v ə r p l aː t s ə n
overplaatsing	oː v ə r p l aː t s ɪ ŋ
overreden	oː v ə r eː d ə n
overrompelen	oː v ə r ɔ m p ə l ə n
overschrijden	oː v ə r s x r ɛ i̯ d ə n
overslaan	oː ʋ ə r s l aː n
oversteken	oː v ə r s t eː k ə n
overstijgen	oː v ə r s t ɛ i̯ ɣ ə n
overtreden	oː v ə r t r eː d ə n
overtreffen	oː v ə r t r ɛ f ə n
overtuigen	oː v ə r t œ y̯ ɣ ə n
overtuiging	oː v ə r t œ y̯ ɣ ɪ ŋ
overvallen	oː v ə r v ɑ l ə n
overweg	oː v ə r ʋ ɛ x
overwegen	oː v ə r ʋ eː ɣ ə n
overweging	oː v ə r ʋ eː ɣ ɪ ŋ
overwinnen	oː v ə r ʋ ɪ n ə n
overzetten	oː v ə r z ɛ t ə n
overzicht	oː v ə r z ɪ x t
overzien	oː v ə r z i n
oxaalzuur	ɔ k s aː l z yː r
ozon	oː z o n
ozonlaag	oː z ɔ n l aː x
pa	p aː
paadje	p aː t ʃ ə
paar	p aː r
paarden	p aː r d ə n
paardenbloem	p aː r d ə n b l u m
paars	p aː r s
paaseiland	p aː s ɛ i̯ l ɑ n t
paasfeest	p aː s f eː s t
pacht	p ɑ x t
pachter	p ɑ x t ə r
page	p aː ʒ ə
pagina	p aː ɣ i n aː
pak	p ɑ k
pakbon	p ɑ k b ɔ n
pakkans	p ɑ k ɑ n s
pakt	p ɑ k t
paleis	p aː l ɛ i̯ s
palen	p aː l ə n
palestina	p aː l ɛ s t i n aː
palladium	p ɑ l aː d i ʏ m
palm	p ɑ l m
palmpasen	p ɑ l m p aː s ə n
paludarium	p aː l y d aː r i ʏ m
pamflet	p ɑ m f l ɛ t
pamfletten	p ɑ m f l ɛ t ə n
pampus	p ɑ m p ʏ s
pan	p ɑ n
panda	p ɑ n d aː
pandemie	p ɑ n d eː m i
paneel	p aː n eː l
paneermeel	p aː n eː r m eː l
paniek	p aː n i k
paniekvoetbal	p aː n i k f u t b ɑ l
panorama	p aː n oː r aː m aː
pantser	p ɑ n t s ə r
pantserjuffer	p ɑ n t s ə r j ʏ f ə r
pantserwagen	p ɑ n t s ə r ʋ aː ɣ ə n
pap	p ɑ p
papier	p aː p iː r
papierwerk	p aː p iː r ʋ ɛ r k
pappen	p ɑ p ə n
parachute	p aː r aː ʃ y t
parade	p aː r aː d ə
paradijs	p aː r aː d ɛ i̯ s
paradoxaal	p aː r aː d ɔ k s aː l
paragraaf	p aː r aː ɣ r aː f
paraplu	p aː r aː p l y
parasol	p aː r aː s ɔ l
pardon	p ɑ r d ɔ n
parelmoer	p aː r ə l m uː r
paren	p aː r ə n
parenclub	p aː r ə n k l ʏ p
parijs	p aː r ɛ i̯ s
park	p ɑ r k
parkeerplaats	p ɑ r k eː r p l aː t s
parkeerruimte	p ɑ r k eː r r œ y̯ m t ə
parkiet	p ɑ r k i t
parking	p ɑ r k ɪ ŋ
parlement	p ɑ r l ə m ɛ n t
parlementair	p ɑ r l ə m ɛ n t ɛː r
parlementariër	p ɑ r l ə m ɛ n t aː r i ə r
parlementsgebouw	p ɑ r l ə m ɛ n t s x ə b ɑ u̯
parochiaan	p aː r ɔ x i aː n
parochie	p aː r ɔ x i
part	p ɑ r t
parterre	p ɑ r t ɛː r ə
participeren	p ɑ r t i s i p eː r ə n
partij	p ɑ r t ɛ i̯
partijbestuur	p ɑ r t ɛ i̯ b ə s t yː r
partijleider	p ɑ r t ɛ i̯ l ɛ i̯ d ə r
partijpolitiek	p ɑ r t ɛ i̯ p oː l i t i k
parttime	p ɑ r t ɑ i̯ m
pas	p ɑ s
pasen	p aː s ə n
pasfoto	p ɑ s f oː t oː
pasgeboren	p ɑ s x ə b oː r ə n
pasja	p aː ʃ aː
paspoort	p ɑ s p oː r t
passie	p ɑ s i
passief	p ɑ s iː f
past	p ɑ s t
pastoor	p ɑ s t oː r
pater	p aː t ə r
patiënt	p ɑ ʃ ɛ n t
patriot	p aː t r i ɔ t
pauw	p ɑ u̯
pech	p ɛ x
peer	p eː r
peeters	p eː t ə r s
peetoom	p eː t oː m
pegel	p eː ɣ ə l
peil	p ɛ i̯ l
peilbuis	p ɛ i̯ l b œ y̯ s
peilen	p ɛ i̯ l ə n
pekela	p eː k ə l aː
peking	p eː k ɪ ŋ
pelgrimstocht	p ɛ l ɣ r ɪ m s t ɔ x t
pellen	p ɛ l ə n
pen	p ɛ n
penetrant	p eː n ə t r ɑ n t
pensioen	p ɛ n ʃ u n
pensioenfonds	p ɛ n ʃ u n f ɔ n t s
pensioenstelsel	p ɛ n ʃ u n s t ɛ l s ə l
perceel	p ɛ r s eː l
periode	p eː r i j oː d ə
permissie	p ɛ r m ɪ s i
pers	p ɛ r s
persbericht	p ɛ r s b ə r ɪ x t
persconferentie	p ɛ r s k ɔ n f ə r ɛ n t s i
persen	p ɛ r s ə n
persiflage	p ɛ r s i f l aː ʒ ə
persoonsgegevens	p ɛ r s oː n s x ə ɣ eː v ə n s
persoonsvorm	p ɛ r s oː n s f ɔ r m
perversie	p ɛ r v ɛ r s i
pester	p ɛ s t ə r
pet	p ɛ t
peter	p eː t ə r
peterselie	p eː t ə r s eː l i
petra	p eː t r aː
petronella	p eː t r oː n ɛ l aː
petrus	p eː t r ʏ s
peuter	p øː t ə r
peuterspeelzaal	p øː t ə r s p eː l z aː l
pezen	p eː z ə n
pias	p i ɑ s
picknick	p ɪ k n ɪ k
piercen	p iː r s ə n
piet	p i t
pieter	p i t ə r
pijl	p ɛ i̯ l
pijn	p ɛ i̯ n
pijnlijk	p ɛ i̯ n l ə k
pijnloos	p ɛ i̯ n l oː s
pijp	p ɛ i̯ p
pijpen	p ɛ i p ə n
pijpleiding	p ɛ i̯ p l ɛ i̯ d ɪ ŋ
pik	p ɪ k
pikaks	p ɪ k ɑ k s
pikdonker	p ɪ k d ɔ ŋ k ə r
pikken	p ɪ k ə n
pil	p ɪ l
pillewegge	p ɪ l ə ʋ ɛ ɣ ə
piloot	p i l oː t
pim	p ɪ m
pin	p ɪ n
pindakaas	p ɪ n d aː k aː s
pink	p ɪ ŋ k
pinksteren	p ɪ ŋ k s t ə r ə n
pionier	p i oː n iː r
pipet	p i p ɛ t
pipo	p i p oː
piraat	p i r aː t
piraterij	p i r aː t ə r ɛ i̯
pis	p ɪ s
pissebed	p ɪ s ə b ɛ t
pistool	p i s t oː l
pixel	p ɪ k s ə l
piëtisme	p i j eː t ɪ s m ə
plaag	p l aː x
plaat	p l aː t
plaatsvinden	p l aː t s f ɪ n d ə n
plaatwerk	p l aː t ʋ ɛ r k
plafond	p l aː f ɔ n
plak	p l ɑ k
plakband	p l ɑ k b ɑ n t
plakken	p l ɑ k ə n
plan	p l ɑ n
planeet	p l aː n eː t
plank	p l ɑ ŋ k
plantage	p l ɑ n t aː ʒ ə
planten	p l ɑ n t ə n
plas	p l ɑ s
plasma	p l ɑ s m aː
