ᆯ지	ʎ t͡ɕ͈ i
연주하다	j ɘː ɲ d͡ʑ u ɦ a̠ d a̠
연초	j ʌ̹ ɲ t͡ɕʰ o̞
연필	j ʌ̹ n pʰ i ɭ
연필깎이	j ʌ̹ n pʰ i ɭ k͈ a̠ k͈ i
연하다	j ɘː n ɦ a̠ d a̠
연합	j ʌ̹ n ɦ a̠ p̚
연혁	j ɘː n ʝ j ʌ̹ k̚
연휴	j ʌ̹ n ʝ j u
엳아홉	j ʌ̹ d a̠ β o̞ p̚
열다	j ɘː ɭ d a̠
열다섯	j ʌ̹ ɭ t͈ a̠ sʰ ʌ̹ t̚
열도	j ʌ̹ ɭ t͈ o̞
열동갈문절	j ʌ̹ ɭ t͈ o̞ ŋ ɡ a̠ ɭ m u ɲ d͡ʑ ʌ̹ ɭ
열둘	j ʌ̹ ɭ t͈ u ɭ
열등	j ʌ̹ ɭ d ɯ ŋ
열등감	j ʌ̹ ɭ t͈ ɯ ŋ ɡ a̠ m
열량	j ʌ̹ ʎ ʎ j a̠ ŋ
열리다	j ʌ̹ ʎ ʎ i d a̠
열반	j ʌ̹ ɭ b a̠ n
열방	j ʌ̹ ɭ b a̠ ŋ
열셋	j ʌ̹ ɭ s͈ e̞ t̚
열쇠	j ɘː ɭ s͈ w e̞
열심히	j ʌ̹ ɭ ɕ͈ i m ʝ i
열아홉	j ʌ̹ ɾ a̠ β o̞ p̚
열여덟	j ʌ̹ ʎ ʎ j ʌ̹ d ʌ̹ ɭ
열여섯	j ʌ̹ ʎ ʎ j ʌ̹ sʰ ʌ̹ t̚
열역학	j ʌ̹ ʎ ʎ j ʌ̹ kʰ a̠ k̚
열일곱	j ʌ̹ ʎ ʎ i ɭ ɡ o̞ p̚
열정	j ʌ̹ ʎ d͡ʑ ʌ̹ ŋ
열차	j ʌ̹ ʎ t͡ɕʰ a̠
열화학	j ʌ̹ ɾ β w a̠ ɦ a̠ k̚
열흘	j ʌ̹ ɾ ɣ ɯ ɭ
염기	j ʌ̹ m ɡ i
염료	j ɘː m ɲ j o
염복	j ɘː m b o̞ k̚
염세주의	j ɘː m sʰ e̞ d͡ʑ u ɰ i
염소	j ʌ̹ m sʰ o̞
염장	j ʌ̹ m d͡ʑ a̠ ŋ
염주	j ɘː m d͡ʑ u
염증	j ʌ̹ m t͡ɕ͈ ɯ ŋ
염통	j ʌ̹ m tʰ o̞ ŋ
엿기름	j ʌ̹ t̚ k͈ i ɾ ɯ m
엿보다	j ɘː t̚ p͈ o̞ d a̠
영광	j ʌ̹ ŋ ɡ w a̠ ŋ
영광스럽다	j ʌ̹ ŋ ɡ w a̠ ŋ sʰ ɯ ɾ ʌ̹ p̚ t͈ a̠
영구	j ɘː ŋ ɡ u
영국	j ʌ̹ ŋ ɡ u k̚
영국인	j ʌ̹ ŋ ɡ u ɡ i n
영도자	j ʌ̹ ŋ d o̞ d͡ʑ a̠
영리하다	j ɘː ŋ n i ɦ a̠ d a̠
영묘	j ʌ̹ ŋ m j o
영문	j ʌ̹ ŋ m u n
영미권	j ʌ̹ ŋ m i k͈ w ʌ̹ n
영본	j ʌ̹ ŋ b o̞ n
영사	j ʌ̹ ŋ sʰ a̠
영사관	j ʌ̹ ŋ sʰ a̠ ɡ w a̠ n
영성	j ʌ̹ ŋ sʰ ʌ̹ ŋ
영성체	j ɘː ŋ sʰ ʌ̹ ŋ t͡ɕʰ e̞
영수증	j ʌ̹ ŋ sʰ u d͡ʑ ɯ ŋ
영양	j ʌ̹ ŋ j a̠ ŋ
영양실조	j ʌ̹ ŋ j a̠ ŋ ɕʰ i ʎ d͡ʑ o̞
영양제	j ʌ̹ ŋ j a̠ ŋ d͡ʑ e̞
영어	j ʌ̹ ŋ ʌ̹
영업	j ʌ̹ ŋ ʌ̹ p̚
영역	j ʌ̹ ŋ j ʌ̹ k̚
영예	j ʌ̹ ŋ j e̞
영웅	j ʌ̹ ŋ u ŋ
영원히	j ɘː ŋ w ʌ̹ n ʝ i
영적	j ʌ̹ ŋ t͡ɕ͈ ʌ̹ k̚
영지	j ʌ̹ ŋ d͡ʑ i
영춘권	j ɘː ŋ t͡ɕʰ u n ɡ w ʌ̹ n
영토	j ʌ̹ ŋ tʰ o̞
영하	j ʌ̹ ŋ ɦ a̠
영향	j ɘː ŋ ʝ j a̠ ŋ
영향력	j ɘː ŋ ʝ j a̠ ŋ ɲ j ʌ̹ k̚
영혼	j ʌ̹ ŋ β o̞ n
영화관	j ʌ̹ ŋ β w a̠ ɡ w a̠ n
옅다	j ʌ̹ t̚ t͈ a̠
옆얼굴	j ʌ̹ b ʌ̹ ɭ ɡ u ɭ
옆집	j ʌ̹ p̚ t͡ɕ͈ i p̚
예감	j e̞ː ɡ a̠ m
예능	j e̞ː n ɯ ŋ
예니레	j e̞ n i ɾ e̞
예닐곱	j e̞ n i ɭ ɡ o̞ p̚
예다	j e̞ː d a̠
예레반	j e̞ ɾ e̞ b a̠ n
예멘	j e̞ m e̞ n
예명	j e̞ m j ʌ̹ ŋ
예문	j e̞ː m u n
예물	j e̞ m u ɭ
예방	j e̞ː b a̠ ŋ
예산	j e̞ː sʰ a̠ n
예수	j e̞ sʰ u
예수회	j e̞ sʰ u β w e̞
예순	j e̞ sʰ u n
예술가	j e̞ː sʰ u ɭ ɡ a̠
예식	j e̞ ɕʰ i k̚
예약하다	j e̞ː j a̠ kʰ a̠ d a̠
예언	j e̞ː ʌ̹ n
예언자	j e̞ː ʌ̹ ɲ d͡ʑ a̠
예외	j e̞ː w e̞
예의	j e̞ ɰ i
예일	j e̞ i ɭ
예절	j e̞ d͡ʑ ʌ̹ ɭ
예정	j e̞ː d͡ʑ ʌ̹ ŋ
예카테린부르크	j e̞ kʰ a̠ tʰ e̞ ɾ i n b u ɾ ɯ k x ɯ
예후	j e̞ː β u
옛날	j e̞ː n n a̠ ɭ
옛말	j e̞ː n m a̠ ɭ
옛적	j e̞ː t̚ t͡ɕ͈ ʌ̹ k̚
오글오글	o̞ ɡ ɯ ɾ o̞ ɡ ɯ ɭ
오금	o̞ ɡ ɯ m
오누이	o̞ n u i
오늘	o̞ n ɯ ɭ
오다	o̞ d a̠
오답	o̞ː d a̠ p̚
오데사	o̞ d e̞ sʰ a̠
오드콜로뉴	o̞ d ɯ kʰ o̞ ɭ ɭ o̞ ɲ j u
오디	o̞ d i
오라버님	o̞ ɾ a̠ b ʌ̹ n i m
오락	o̞ː ɾ a̠ k̚
오락실	o̞ː ɾ a̠ k ɕ͈ i ɭ
오랑우탄	o̞ ɾ a̠ ŋ u tʰ a̠ n
오렌지	o̞ ɾ e̞ ɲ d͡ʑ i
오로지	o̞ː ɾ o̞ d͡ʑ i
오롯하다	o̞ ɾ o̞ tʰ a̠ d a̠
오류	o̞ː ɾ j u
오르가슴	o̞ ɾ ɯ ɡ a̠ sʰ ɯ m
오르다	o̞ ɾ ɯ d a̠
오르되브르	o̞ ɾ ɯ d w e̞ b ɯ ɾ ɯ
오른	o̞ ɾ ɯ n
오른손잡이	o̞ ɾ ɯ n sʰ o̞ ɲ d͡ʑ a̠ b i
오리나무	o̞ ɾ i n a̠ m u
오리무중	o̞ː ɾ i m u d͡ʑ u ŋ
오물	o̞ː m u ɭ
오물오물	o̞ m u ɾ o̞ m u ɭ
오므라이스	o̞ m ɯ ɾ a̠ i sʰ ɯ
오믈렛	o̞ m ɯ ɭ ɭ e̞ t̚
오버클럭	o̞ b ʌ̹ k x ɯ ɭ ɭ ʌ̹ k̚
오븐	o̞ b ɯ n
오빠	o̞ p͈ a̠
오사존	o̞ sʰ a̠ d͡ʑ o̞ n
오사카	o̞ sʰ a̠ kʰ a̠
오소리	o̞ sʰ o̞ ɾ i
오십	o̞ː ɕʰ i p̚
오아시스	o̞ a̠ ɕʰ i sʰ ɯ
오염	o̞ː j ʌ̹ m
오염되다	o̞ː j ʌ̹ m d w e̞ d a̠
오온	o̞ː o̞ n
오옴	o̞ o̞ m
오월	o̞ː w ʌ̹ ɭ
오이	o̞ i
오적어	o̞ d͡ʑ ʌ̹ ɡ ʌ̹
오전	o̞ː d͡ʑ ʌ̹ n
오존	o̞ d͡ʑ o̞ n
오줌	o̞ d͡ʑ u m
오직	o̞ d͡ʑ i k̚
오징어	o̞ d͡ʑ i ŋ ʌ̹
오촌	o̞ː t͡ɕʰ o̞ n
오케스트라	o̞ kʰ e̞ sʰ ɯ tʰ ɯ ɾ a̠
오타	o̞ː tʰ a̠
오타와	o̞ tʰ a̠ w a̠
오타쿠	o̞ tʰ a̠ kʰ u
오토바이	o̞ tʰ o̞ b a̠ i
오트밀	o̞ tʰ ɯ m i ɭ
오페라	o̞ pʰ e̞ ɾ a̠
오페레타	o̞ pʰ e̞ ɾ e̞ tʰ a̠
오후	o̞ː β u
오히려	o̞ ʝ i ɾ j ʌ̹
옥상	o̞ k s͈ a̠ ŋ
옥석	o̞ k s͈ ʌ̹ k̚
옥수수	o̞ k s͈ u sʰ u
옥시토신	o̞ k ɕ͈ i tʰ o̞ ɕʰ i n
옥중	o̞ k̚ t͡ɕ͈ u ŋ
옥탑	o̞ k̚ tʰ a̠ p̚
옥테인	o̞ k̚ tʰ e̞ i n
온갖	o̞ː n ɡ a̠ t̚
온돌	o̞ n d o̞ ɭ
온라인	o̞ n n a̠ i n
온몸	o̞ː n m o̞ m
온수	o̞ n sʰ u
온실	o̞ n ɕʰ i ɭ
온종일	o̞ː ɲ d͡ʑ o̞ ŋ i ɭ
온천	o̞ ɲ t͡ɕʰ ʌ̹ n
온통	o̞ː n tʰ o̞ ŋ
올겨울	o̞ ɭ k͈ j ʌ̹ u ɭ
올라가다	o̞ ɭ ɭ a̠ ɡ a̠ d a̠
올려놓다	o̞ ʎ ʎ j ʌ̹ n o̞ tʰ a̠
올리고	o̞ ʎ ʎ i ɡ o̞
올리다	o̞ ʎ ʎ i d a̠
올리브	o̞ ʎ ʎ i b ɯ
올림말	o̞ ʎ ʎ i m m a̠ ɭ
올림픽	o̞ ʎ ʎ i m pʰ i k̚
올바르다	o̞ ɭ b a̠ ɾ ɯ d a̠
올여름	o̞ ʎ ʎ j ʌ̹ ɾ ɯ m
올통볼통	o̞ ɭ tʰ o̞ ŋ b o̞ ɭ tʰ o̞ ŋ
옳다	o̞ ɭ tʰ a̠
옳아	o̞ ɾ a̠
옴스크	o̞ m sʰ ɯ k x ɯ
옷감	o̞ t̚ k͈ a̠ m
옷걸이	o̞ t̚ k͈ ʌ̹ ɾ i
옷고름	o̞ t̚ k͈ o̞ ɾ ɯ m
옷장	o̞ t̚ t͡ɕ͈ a̠ ŋ
와그르르	w a̠ ɡ ɯ ɾ ɯ ɾ ɯ
와글와글	w a̠ ɡ ɯ ɾ w a̠ ɡ ɯ ɭ
와사비	w a̠ sʰ a̠ b i
와이셔츠	w a̠ i ɕʰ ʌ̹ t͡ɕʰ ɯ
와이파이	w a̠ i pʰ a̠ i
와이프	w a̠ i pʰ ɯ
와인	w a̠ i n
와타시	w a̠ tʰ a̠ ɕʰ i
완곡하다	w a̠ː n ɡ o̞ kʰ a̠ d a̠
완두	w a̠ n d u
완벽	w a̠ n b j ʌ̹ k̚
완비	w a̠ n b i
완성	w a̠ n sʰ ʌ̹ ŋ
완성하다	w a̠ n sʰ ʌ̹ ŋ ɦ a̠ d a̠
완전	w a̠ ɲ d͡ʑ ʌ̹ n
완전히	w a̠ ɲ d͡ʑ ʌ̹ n ʝ i
왈가왈부	w a̠ ɭ ɡ a̠ w a̠ ɭ b u
왈츠	w a̠ ʎ t͡ɕʰ ɯ
왕가	w a̠ ŋ ɡ a̠
왕관	w a̠ ŋ ɡ w a̠ n
왕국	w a̠ ŋ ɡ u k̚
왕복	w a̠ː ŋ b o̞ k̚
왕성	w a̠ː ŋ sʰ ʌ̹ ŋ
왕실	w a̠ ŋ ɕʰ i ɭ
왕자	w a̠ ŋ d͡ʑ a̠
왕조	w a̠ ŋ d͡ʑ o̞
왕후	w a̠ ŋ β u
왜서	w ɛː sʰ ʌ̹
외계어	w e̞ː ɡ j e̞ ʌ̹
외과	w e̞ː k͈ w a̠
외교	w e̞ː ɡ j o
외교관	w e̞ː ɡ j o ɡ w a̠ n
외국	w e̞ː ɡ u k̚
외국어	w e̞ː ɡ u ɡ ʌ̹
외국인	w e̞ː ɡ u ɡ i n
외딸	w e̞ t͈ a̠ ɭ
외롭다	w e̞ ɾ o̞ p̚ t͈ a̠
외면	w e̞ː m j ʌ̹ n
외모	w e̞ː m o̞
외복사근	w e̞ b o̞ k s͈ a̠ ɡ ɯ n
외부	w e̞ː b u
외삼촌	w e̞ː sʰ a̠ m t͡ɕʰ o̞ n
외설	w e̞ː sʰ ʌ̹ ɭ
외손녀	w e̞ː sʰ o̞ n ɲ j ʌ̹
외손자	w e̞ː sʰ o̞ ɲ d͡ʑ a̠
외식	w e̞ː ɕʰ i k̚
외아들	w e̞ a̠ d ɯ ɭ
외야수	w e̞ː j a̠ sʰ u
외인	w e̞ː i n
외지	w e̞ d͡ʑ i
외치다	w e̞ t͡ɕʰ i d a̠
외투	w e̞ː tʰ u
외할머니	w e̞ ɦ a̠ ɭ m ʌ̹ n i
외할아버지	w e̞ ɦ a̠ ɾ a̠ b ʌ̹ d͡ʑ i
외환	w e̞ː β w a̠ n
왼손잡이	w e̞ː n sʰ o̞ ɲ d͡ʑ a̠ b i
왼쪽	w e̞ː ɲ t͡ɕ͈ o̞ k̚
요격	j o ɡ j ʌ̹ k̚
요괴	j o ɡ w e̞
요구	j o ɡ u
요구되다	j o ɡ u d w e̞ d a̠
요구하다	j o ɡ u ɦ a̠ d a̠
요녕	j o ɲ j ʌ̹ ŋ
요도	j o d o̞
요람	j o ɾ a̠ m
요령	j o ɾ j ʌ̹ ŋ
요르단	j o ɾ ɯ d a̠ n
요리	j o ɾ i
요리하다	j o ɾ i ɦ a̠ d a̠
요법	j o p͈ ʌ̹ p̚
요사이	j o sʰ a̠ i
요소	j o sʰ o̞
요술	j o sʰ u ɭ
요약하다	j o j a̠ kʰ a̠ d a̠
요오드	j o o̞ d ɯ
요일	j o i ɭ
요절	j oː d͡ʑ ʌ̹ ɭ
요즈음	j o d͡ʑ ɯ ɯ m
요즘	j o d͡ʑ ɯ m
요지	j o d͡ʑ i
요청	j o t͡ɕʰ ʌ̹ ŋ
요크셔	j o k x ɯ ɕʰ ʌ̹
요하다	j o ɦ a̠ d a̠
요한	j o ɦ a̠ n
욕실	j o k ɕ͈ i ɭ
욕조	j o k̚ t͡ɕ͈ o̞
용감하다	j oː ŋ ɡ a̠ m ɦ a̠ d a̠
용과	j o ŋ ɡ w a̠
용도	j oː ŋ d o̞
용돈	j oː ŋ t͈ o̞ n
용모	j o ŋ m o̞
용병	j o ŋ b j ʌ̹ ŋ
용비어천가	j o ŋ b i ʌ̹ t͡ɕʰ ʌ̹ n ɡ a̠
용서하다	j o ŋ sʰ ʌ̹ ɦ a̠ d a̠
용언	j oː ŋ ʌ̹ n
용역	j oː ŋ j ʌ̹ k̚
용의자	j o ŋ ɰ i d͡ʑ a̠
용이	j o ŋ i
용이하다	j o ŋ i ɦ a̠ d a̠
용접	j o ŋ d͡ʑ ʌ̹ p̚
용지	j oː ŋ d͡ʑ i
용케	j oː ŋ kʰ e̞
우간다	u ɡ a̠ n d a̠
우그르르	u ɡ ɯ ɾ ɯ ɾ ɯ
우동	u d o̞ ŋ
우두커니	u d u kʰ ʌ̹ n i
우렁각시	u ɾ ʌ̹ ŋ ɡ a̠ k ɕ͈ i
우렁이	u ɾ ʌ̹ ŋ i
우롱차	u ɾ o̞ ŋ t͡ɕʰ a̠
우루과이	u ɾ u ɡ w a̠ i
우리나라	u ɾ i n a̠ ɾ a̠
우리들	u ɾ i d ɯ ɭ
우리말	u ɾ i m a̠ ɭ
우리집	u ɾ i d͡ʑ i p̚
우마	u m a̠
우먼	u m ʌ̹ n
우물	u m u ɭ
우물우물	u m u ɾ u m u ɭ
우산	uː sʰ a̠ n
우상	uː sʰ a̠ ŋ
우선	u sʰ ʌ̹ n
우세	u sʰ e̞
우수리	u sʰ u ɾ i
우습다	uː sʰ ɯ p̚ t͈ a̠
우승	u sʰ ɯ ŋ
우아	u a̠
우아하다	u a̠ ɦ a̠ d a̠
우엉	u ʌ̹ ŋ
우연	u j ʌ̹ n
우연히	u j ʌ̹ n ʝ i
우울증	u u ʎ t͡ɕ͈ ɯ ŋ
우울하다	u u ɾ ɦ a̠ d a̠
우웩	u w e̞ k̚
우유	u j u
우익수	uː i k s͈ u
우주선	uː d͡ʑ u sʰ ʌ̹ n
우체국	u t͡ɕʰ e̞ ɡ u k̚
우체부	uː t͡ɕʰ e̞ b u
우크라이나어	u k x ɯ ɾ a̠ i n a̠ ʌ̹
우편	u pʰ j ʌ̹ n
우편번호	u pʰ j ʌ̹ n b ʌ̹ n β o̞
우편함	u pʰ j ʌ̹ n ɦ a̠ m
우표	u pʰ j o
우한	u ɦ a̠ n
우화	uː β w a̠
운동	uː n d o̞ ŋ
운동공원	u n d o̞ ŋ ɡ o̞ ŋ w ʌ̹ n
운동복	uː n d o̞ ŋ b o̞ k̚
운동장	uː n d o̞ ŋ d͡ʑ a̠ ŋ
운동하다	uː n d o̞ ŋ ɦ a̠ d a̠
운동화	uː n d o̞ ŋ β w a̠
운명	uː n m j ʌ̹ ŋ
운명론	uː n m j ʌ̹ ŋ n o̞ n
운수	u n sʰ u
운전	u ɲ d͡ʑ ʌ̹ n
운전기사	uː ɲ d͡ʑ ʌ̹ n ɡ i sʰ a̠
운전사	uː ɲ d͡ʑ ʌ̹ n sʰ a̠
운전자	uː ɲ d͡ʑ ʌ̹ ɲ d͡ʑ a̠
운하	uː n ɦ a̠
울다	uː ɭ d a̠
울란바토르	u ɭ ɭ a̠ n b a̠ tʰ o̞ ɾ ɯ
울리다	u ʎ ʎ i d a̠
울리짜	u ʎ ʎ i t͡ɕ͈ a̠
울버린	u ɭ b ʌ̹ ɾ i n
울산	u ɭ s͈ a̠ n
울음	u ɾ ɯ m
울음소리	u ɾ ɯ m s͈ o̞ ɾ i
움직이다	u m d͡ʑ i ɡ i d a̠
움직임	u m d͡ʑ i ɡ i m
움짤	u m t͡ɕ͈ a̠ ɭ
웃기다	u t̚ k͈ i d a̠
웃다	uː t̚ t͈ a̠
웃음	u sʰ ɯ m
웅덩이	u ŋ d ʌ̹ ŋ i
웅데	u ŋ d e̞
웅어	u ŋ ʌ̹
워그르르	w ʌ̹ ɡ ɯ ɾ ɯ ɾ ɯ
워낙	w ʌ̹ n a̠ k̚
워석버석	w ʌ̹ sʰ ʌ̹ k̚ p͈ ʌ̹ sʰ ʌ̹ k̚
워싱턴	w ʌ̹ ɕʰ i ŋ tʰ ʌ̹ n
원고	w ʌ̹ n ɡ o̞
원기둥	w ʌ̹ n ɡ i d u ŋ
원료	w ʌ̹ ʎ ʎ j o
원룸	w ʌ̹ n n u m
원리	w ʌ̹ ʎ ʎ i
원망	w ʌ̹ n m a̠ ŋ
원망하다	w ɘː n m a̠ ŋ ɦ a̠ d a̠
원반	w ʌ̹ n b a̠ n
원본	w ʌ̹ n b o̞ n
원산	w ʌ̹ n sʰ a̠ n
원석	w ʌ̹ n sʰ ʌ̹ k̚
원시	w ɘː n ɕʰ i
원앙	w ʌ̹ n a̠ ŋ
원인	w ʌ̹ n i n
원자	w ʌ̹ ɲ d͡ʑ a̠
원자력발전소	w ʌ̹ ɲ d͡ʑ a̠ ɾ j ʌ̹ k̚ p͈ a̠ ʎ d͡ʑ ʌ̹ n sʰ o̞
원장	w ʌ̹ ɲ d͡ʑ a̠ ŋ
원조	w ɘː ɲ d͡ʑ o̞
원조교제	w ʌ̹ ɲ d͡ʑ o̞ ɡ j o d͡ʑ e̞
원족	w ʌ̹ ɲ d͡ʑ o̞ k̚
원천	w ʌ̹ ɲ t͡ɕʰ ʌ̹ n
원칙	w ʌ̹ ɲ t͡ɕʰ i k̚
원통	w ʌ̹ n tʰ o̞ ŋ
원폭	w ʌ̹ n pʰ o̞ k̚
원피스	w ʌ̹ n pʰ i sʰ ɯ
월경	w ʌ̹ ɭ ɡ j ʌ̹ ŋ
월남	w ʌ̹ ɭ ɭ a̠ m
월세	w ʌ̹ ɭ s͈ e̞
월식	w ʌ̹ ɭ ɕ͈ i k̚
월요일	w ʌ̹ ɾ j o i ɭ
웨브페지	w e̞ b ɯ pʰ e̞ d͡ʑ i
웨이터	w e̞ i tʰ ʌ̹
웬일	w e̞ː n n i ɭ
웹사이트	w e̞ p s͈ a̠ i tʰ ɯ
위구르어	ɥ i ɡ u ɾ ɯ ʌ̹
위굴말	ɥ i ɡ u ɭ m a̠ ɭ
위글말	ɥ i ɡ ɯ ɭ m a̠ ɭ
위기	ɥ i ɡ i
위력	ɥ i ɾ j ʌ̹ k̚
위반	ɥ i b a̠ n
위선자	ɥ i sʰ ʌ̹ ɲ d͡ʑ a̠
위안부	ɥ i a̠ n b u
위업	ɥ i ʌ̹ p̚
위원장	ɥ i w ʌ̹ ɲ d͡ʑ a̠ ŋ
위원회	ɥ i w ʌ̹ n β w e̞
위조	ɥ iː d͡ʑ o̞
위주	ɥ i d͡ʑ u
위증	ɥ i d͡ʑ ɯ ŋ
위치	ɥ i t͡ɕʰ i
위탁	ɥ i tʰ a̠ k̚
위험	ɥ i ɦ ʌ̹ m
위협	ɥ i ʝ j ʌ̹ p̚
위화감	ɥ i β w a̠ ɡ a̠ m
위훈	ɥ i β u n
윅셔너리	ɥ i k ɕ͈ ʌ̹ n ʌ̹ ɾ i
윈난	ɥ i n n a̠ n
윈도	ɥ i n d o̞
윈도우	ɥ i n d o̞ u
유가	j u ɡ a̠
유가증권	j uː ɡ a̠ d͡ʑ ɯ ŋ k͈ w ʌ̹ n
유감	j u ɡ a̠ m
유격수	j u ɡ j ʌ̹ k s͈ u
유고슬라비아	j u ɡ o̞ sʰ ɯ ɭ ɭ a̠ b i a̠
유곽	j u ɡ w a̠ k̚
유괴	j u ɡ w e̞
유교	j u ɡ j o
유권자	j uː ɡ w ʌ̹ ɲ d͡ʑ a̠
유기견	j u ɡ i ɡ j ʌ̹ n
유난히	j uː n a̠ n ʝ i
유년	j u ɲ j ʌ̹ n
유능하다	j u n ɯ ŋ ɦ a̠ d a̠
유니폼	j u n i pʰ o̞ m
유도	j u d o̞
유도탄	j u d o̞ tʰ a̠ n
유독	j uː d o̞ k̚
유라시아	j u ɾ a̠ ɕʰ i a̠
유량	j u ɾ j a̠ ŋ
유럽	j u ɾ ʌ̹ p̚
유령	j u ɾ j ʌ̹ ŋ
유로비트	j u ɾ o̞ b i tʰ ɯ
유르트	j u ɾ ɯ tʰ ɯ
유리기	j u ɾ i ɡ i
유릿조각	j u ɾ i t̚ t͡ɕ͈ o̞ ɡ a̠ k̚
유머	j u m ʌ̹
유명	j uː m j ʌ̹ ŋ
유명하다	j uː m j ʌ̹ ŋ ɦ a̠ d a̠
유목민	j u m o̞ ŋ m i n
유물	j u m u ɭ
유민	j u m i n
유사하다	j uː sʰ a̠ ɦ a̠ d a̠
유서	j u sʰ ʌ̹
유성	j u sʰ ʌ̹ ŋ
유스호스텔	j u sʰ ɯ β o̞ sʰ ɯ tʰ e̞ ɭ
유아	j u a̠
유아원	j u a̠ w ʌ̹ n
유언	j u ʌ̹ n
유언비어	j u ʌ̹ n b i ʌ̹
유엔	j u e̞ n
유역	j u j ʌ̹ k̚
유용하다	j uː j o ŋ ɦ a̠ d a̠
유월	j u w ʌ̹ ɭ
유의어	j uː ɰ i ʌ̹
유익하다	j u i kʰ a̠ d a̠
유인원	j uː i n w ʌ̹ n
유입	j u i p̚
유적	j u d͡ʑ ʌ̹ k̚
유전자	j u d͡ʑ ʌ̹ ɲ d͡ʑ a̠
유제품	j u d͡ʑ e̞ pʰ u m
유죄	j uː d͡ʑ w e̞
유지	j u d͡ʑ i
유지하다	j u d͡ʑ i ɦ a̠ d a̠
유진	j u d͡ʑ i n
유출	j u t͡ɕʰ u ɭ
유충	j u t͡ɕʰ u ŋ
유탄	j u tʰ a̠ n
유통	j u tʰ o̞ ŋ
유튜브	j u tʰ j u b ɯ
유학	j u ɦ a̠ k̚
유형	j uː ʝ j ʌ̹ ŋ
유혹	j u β o̞ k̚
유희	j u ʝ i
육군	j u k̚ k͈ u n
육분의	j u k̚ p͈ u n ɰ i
육서	j u k s͈ ʌ̹
육수	j u k s͈ u
육자진언	j u k̚ t͡ɕ͈ a̠ d͡ʑ i n ʌ̹ n
육지	j u k̚ t͡ɕ͈ i
육체	j u k̚ t͡ɕʰ e̞
육회	j u kʰ w e̞
윤곽	j u n ɡ w a̠ k̚
윤리	j u ʎ ʎ i
윤리학	j u ʎ ʎ i ɦ a̠ k̚
융자	j u ŋ d͡ʑ a̠
융합	j u ŋ ɦ a̠ p̚
윷놀이	j uː n n o̞ ɾ i
윷짝	j uː t̚ t͡ɕ͈ a̠ k̚
으로	ɯ ɾ o̞
으쌰	ɯ ɕ͈ a̠
은근	ɯ n ɡ ɯ n
은근히	ɯ n ɡ ɯ n ʝ i
은어	ɯ n ʌ̹
은유	ɯ ɲ j u
은인	ɯ n i n
은퇴하다	ɯ n tʰ w e̞ ɦ a̠ d a̠
은하단	ɯ n ɦ a̠ d a̠ n
은하수	ɯ n ɦ a̠ sʰ u
은혜	ɯ n ʝ j e̞
을게	ɯ ɭ k͈ e̞
음경	ɯ m ɡ j ʌ̹ ŋ
음독	ɯ m d o̞ k̚
음량	ɯ m ɲ j a̠ ŋ
음력	ɯ m ɲ j ʌ̹ k̚
음료	ɯː m ɲ j o
음모론	ɯ m m o̞ ɾ o̞ n
음문	ɯ m m u n
음반	ɯ m b a̠ n
음성	ɯ m sʰ ʌ̹ ŋ
음소	ɯ m sʰ o̞
음소문자	ɯ m sʰ o̞ m u ɲ d͡ʑ a̠
음식	ɯː m ɕʰ i k̚
음식값	ɯː m ɕʰ i k̚ k͈ a̠ p̚
음식점	ɯː m ɕʰ i k̚ t͡ɕ͈ ʌ̹ m
음쓰	ɯː m s͈ ɯ
음악	ɯ m a̠ k̚
음악가	ɯ m a̠ k̚ k͈ a̠
음악학	ɯ m a̠ kʰ a̠ k̚
음양	ɯ m j a̠ ŋ
음역자	ɯ m j ʌ̹ k̚ t͡ɕ͈ a̠
음운론	ɯ m u n n o̞ n
음절	ɯ m d͡ʑ ʌ̹ ɭ
음표	ɯ m pʰ j o
음향	ɯ m ʝ j a̠ ŋ
음훈	ɯ m β u n
응답	ɯː ŋ d a̠ p̚
응당	ɯː ŋ d a̠ ŋ
응용	ɯː ŋ j o ŋ
응원	ɯː ŋ w ʌ̹ n
응집력	ɯː ŋ d͡ʑ i m ɲ j ʌ̹ k̚
응징하다	ɯ ŋ d͡ʑ i ŋ ɦ a̠ d a̠
의거하다	ɰ i ɡ ʌ̹ ɦ a̠ d a̠
의견	ɰ iː ɡ j ʌ̹ n
의논	ɰ i n o̞ n
의료	ɰ i ɾ j o
의리	ɰ iː ɾ i
의문	ɰ i m u n
의문사	ɰ i m u n sʰ a̠
의미	ɰ iː m i
의복	ɰ i b o̞ k̚
의상	ɰ i sʰ a̠ ŋ
의성어	ɰ i sʰ ʌ̹ ŋ ʌ̹
의식	ɰ iː ɕʰ i k̚
의식하다	ɰ iː ɕʰ i kʰ a̠ d a̠
의심	ɰ i ɕʰ i m
의심쩍다	ɰ i ɕʰ i m t͡ɕ͈ ʌ̹ k̚ t͈ a̠
의심하다	ɰ i ɕʰ i m ɦ a̠ d a̠
의의	ɰ iː ɰ i
의인화	ɰ i i n β w a̠
의자	ɰ i d͡ʑ a̠
의장	ɰ i d͡ʑ a̠ ŋ
의제	ɰ i d͡ʑ e̞
의존증	ɰ i d͡ʑ o̞ ɲ t͡ɕ͈ ɯ ŋ
